available_bike_stands,relative_humidity,apparent_temperature,rain,temperature
11,74.0,3.6,1.1,7.8
8,74.0,3.6,1.1,7.8
14,74.0,3.6,1.1,7.8
17,74.0,3.6,1.1,7.8
16,74.0,3.6,1.1,7.8
14,74.0,3.6,1.1,7.8
14,74.0,3.6,1.1,7.8
4,74.0,3.6,1.1,7.8
20,74.0,3.6,1.1,7.8
9,74.0,3.6,1.1,7.8
10,74.0,3.6,1.1,7.8
9,74.0,3.6,1.1,7.8
12,74.0,3.6,1.1,7.8
8,74.0,3.6,1.1,7.8
6,74.0,3.6,1.1,7.8
10,74.0,3.6,1.1,7.8
5,74.0,3.6,1.1,7.8
5,74.0,3.6,1.1,7.8
20,74.0,3.6,1.1,7.8
8,74.0,3.6,1.1,7.8
14,74.0,3.6,1.1,7.8
10,74.0,3.6,1.1,7.8
12,74.0,3.6,1.1,7.8
13,74.0,3.6,1.1,7.8
2,74.0,3.6,1.1,7.8
8,74.0,3.6,1.1,7.8
8,74.0,3.6,1.1,7.8
16,74.0,3.6,1.1,7.8
