available_bike_stands,precipitation,temperature,relative_humidity,dew_point
11,1.1,7.8,74.0,3.5
8,1.1,7.8,74.0,3.5
8,1.1,7.8,74.0,3.5
14,1.1,7.8,74.0,3.5
17,1.1,7.8,74.0,3.5
15,1.1,7.8,74.0,3.5
14,1.1,7.8,74.0,3.5
14,1.1,7.8,74.0,3.5
5,1.1,7.8,74.0,3.5
20,1.1,7.8,74.0,3.5
9,1.1,7.8,74.0,3.5
10,1.1,7.8,74.0,3.5
10,1.1,7.8,74.0,3.5
12,1.1,7.8,74.0,3.5
16,1.1,7.8,74.0,3.5
6,1.1,7.8,74.0,3.5
8,1.1,7.8,74.0,3.5
10,1.1,7.8,74.0,3.5
3,1.1,7.8,74.0,3.5
13,1.1,7.8,74.0,3.5
10,1.1,7.8,74.0,3.5
12,1.1,7.8,74.0,3.5
6,1.1,7.8,74.0,3.5
20,1.1,7.8,74.0,3.5
5,1.1,7.8,74.0,3.5
4,1.1,7.8,74.0,3.5
10,1.1,7.8,74.0,3.5
12,1.1,7.8,74.0,3.5
20,1.0,7.6,76.0,3.7
10,1.0,7.6,76.0,3.7
10,1.0,7.6,76.0,3.7
9,1.0,7.6,76.0,3.7
5,1.0,7.6,76.0,3.7
8,1.0,7.6,76.0,3.7
14,1.0,7.6,76.0,3.7
15,1.0,7.6,76.0,3.7
17,1.0,7.6,76.0,3.7
14,1.0,7.6,76.0,3.7
12,1.0,7.6,76.0,3.7
14,1.0,7.6,76.0,3.7
8,1.0,7.6,76.0,3.7
6,1.0,7.6,76.0,3.7
10,1.0,7.6,76.0,3.7
4,1.0,7.6,76.0,3.7
5,1.0,7.6,76.0,3.7
20,1.0,7.6,76.0,3.7
12,1.0,7.6,76.0,3.7
10,1.0,7.6,76.0,3.7
12,1.0,7.6,76.0,3.7
13,1.0,7.6,76.0,3.7
3,1.0,7.6,76.0,3.7
10,1.0,7.6,76.0,3.7
11,1.0,7.6,76.0,3.7
8,1.0,7.6,76.0,3.7
6,1.0,7.6,76.0,3.7
16,1.0,7.6,76.0,3.7
