available_bike_stands,hour,surface_pressure,is_day,apparent_temperature,date
7,19,984.45,0,23.65,2023-06-25 19:00:00+00:00
8,20,984.4499999999999,0,22.5,2023-06-25 20:00:00+00:00
4,21,984.5500000000001,0,21.05,2023-06-25 21:00:00+00:00
0,22,985.0,0,19.45,2023-06-25 22:00:00+00:00
0,23,985.25,0,18.3,2023-06-25 23:00:00+00:00
0,0,985.2000000000002,0,17.650000000000002,2023-06-26 00:00:00+00:00
0,1,985.1,0,17.05,2023-06-26 01:00:00+00:00
1,2,985.0500000000001,0,16.45,2023-06-26 02:00:00+00:00
2,3,984.9000000000001,0,16.05,2023-06-26 03:00:00+00:00
5,4,984.4500000000002,0,15.950000000000001,2023-06-26 04:00:00+00:00
11,5,984.1,0,16.05,2023-06-26 05:00:00+00:00
15,6,984.15,1,17.599999999999998,2023-06-26 06:00:00+00:00
20,7,984.4,1,20.15,2023-06-26 07:00:00+00:00
21,8,984.9,1,22.45,2023-06-26 08:00:00+00:00
21,9,985.3,1,24.3,2023-06-26 09:00:00+00:00
18,10,985.0499999999998,1,26.95,2023-06-26 10:00:00+00:00
16,11,984.8,1,28.4,2023-06-26 11:00:00+00:00
1,17,982.7,1,26.5,2023-06-26 17:00:00+00:00
3,18,982.6,1,26.150000000000002,2023-06-26 18:00:00+00:00
6,19,982.5545454545455,0,25.636363636363637,2023-06-26 19:00:00+00:00
2,20,982.75,0,25.0,2023-06-26 20:00:00+00:00
0,21,982.9,0,23.650000000000002,2023-06-26 21:00:00+00:00
0,22,982.65,0,21.099999999999998,2023-06-26 22:00:00+00:00
0,23,982.3499999999999,0,19.05,2023-06-26 23:00:00+00:00
0,0,982.2999999999998,0,18.8,2023-06-27 00:00:00+00:00
0,1,982.2999999999998,0,19.3,2023-06-27 01:00:00+00:00
0,2,982.3499999999999,0,19.5,2023-06-27 02:00:00+00:00
0,3,982.3000000000001,0,19.45,2023-06-27 03:00:00+00:00
5,4,981.9727272727273,0,19.490909090909092,2023-06-27 04:00:00+00:00
17,5,981.8714285714286,0,19.728571428571428,2023-06-27 05:00:00+00:00
20,6,982.3666666666666,1,21.766666666666666,2023-06-27 06:00:00+00:00
20,7,982.4399999999999,1,23.419999999999998,2023-06-27 07:00:00+00:00
19,8,983.0666666666667,1,24.788888888888888,2023-06-27 08:00:00+00:00
20,9,983.7363636363636,1,24.5,2023-06-27 09:00:00+00:00
20,10,983.8444444444444,1,22.133333333333333,2023-06-27 10:00:00+00:00
20,11,983.8857142857142,1,21.8,2023-06-27 11:00:00+00:00
19,12,984.1714285714286,1,21.8,2023-06-27 12:00:00+00:00
18,13,984.75,1,20.675,2023-06-27 13:00:00+00:00
19,14,984.9499999999999,1,20.7,2023-06-27 14:00:00+00:00
17,15,984.4,1,21.600000000000005,2023-06-27 15:00:00+00:00
