available_bike_stands,temperature,hour,surface_pressure,apparent_temperature
22,12.3,12,980.4,9.8
22,12.3,12,980.4,9.8
22,12.3,12,980.4,9.8
22,12.3,12,980.4,9.8
22,12.3,12,980.4,9.8
19,12.3,12,980.4,9.8
19,12.7,14,980.7,9.3
7,6.2,19,983.2,4.1
5,7.1,21,984.4,4.6
6,6.8,22,984.5,4.4
22,13.9,11,985.5,11.4
17,14.6,14,985.0,11.8
15,14.2,15,984.7,11.3
19,12.2,17,984.9,10.4
8,10.2,18,985.6,8.8
4,7.0,20,986.9,5.0
5,6.4,21,987.1,4.2
4,6.3,22,987.0,4.1
3,4.7,23,987.1,2.7
2,4.5,0,987.0,2.2
3,3.7,1,986.5,1.3
3,5.2,2,986.4,2.9
3,5.2,3,986.3,3.1
6,4.2,4,986.3,2.0
6,4.8,5,986.5,2.6
15,4.1,6,986.5,1.9
18,5.6,7,986.8,3.4
21,6.7,8,987.2,4.7
21,8.1,9,987.4,5.9
21,10.1,10,987.4,8.1
20,12.2,11,986.9,10.4
14,13.1,12,986.2,11.2
8,13.4,13,985.6,11.6
21,14.9,14,984.9,13.0
8,14.8,15,984.3,12.7
14,14.2,16,984.4,12.3
18,13.3,17,984.4,11.7
18,12.1,18,984.7,10.9
16,10.7,19,984.9,9.3
12,10.7,20,985.2,9.1
13,9.3,21,985.3,7.8
14,8.2,22,985.2,6.5
11,8.4,23,984.7,6.8
10,7.1,0,984.7,5.4
13,6.1,1,984.4,4.2
13,5.9,2,984.3,3.9
9,6.0,4,984.3,4.3
11,4.7,5,984.5,2.9
12,5.8,6,984.8,4.3
21,6.1,7,984.9,4.6
20,9.1,8,985.2,7.8
19,11.2,9,985.1,9.8
15,13.2,10,984.7,11.6
22,15.2,11,984.5,13.8
21,16.2,12,984.2,14.7
22,17.0,13,984.0,15.2
19,17.8,14,983.6,15.2
10,17.7,15,983.3,15.3
12,17.2,16,983.0,15.1
22,15.8,17,982.9,14.5
13,14.2,18,983.2,13.4
16,13.4,19,983.7,12.8
17,12.3,20,984.4,11.1
16,10.2,21,984.9,8.9
3,10.5,23,984.9,9.5
