available_bike_stands,surface_pressure,day_of_week,apparent_temperature,hour
0,980.4,1,9.8,12
0,980.4,1,9.8,12
0,980.4,1,9.8,12
0,980.4,1,9.8,12
0,980.4,1,9.8,12
6,980.4,1,9.8,12
14,980.7,1,9.3,14
20,983.2,1,4.1,19
18,984.4,1,4.6,21
19,984.5,1,4.4,22
7,985.5,2,11.4,11
20,985.0,2,11.8,14
17,984.7,2,11.3,15
2,984.9,2,10.4,17
7,985.6,2,8.8,18
0,986.9,2,5.0,20
6,987.1,2,4.2,21
8,987.0,2,4.1,22
9,987.1,2,2.7,23
9,987.0,3,2.2,0
9,986.5,3,1.3,1
9,986.4,3,2.9,2
10,986.3,3,3.1,3
9,986.3,3,2.0,4
9,986.5,3,2.6,5
8,986.5,3,1.9,6
12,986.8,3,3.4,7
8,987.2,3,4.7,8
1,987.4,3,5.9,9
10,987.4,3,8.1,10
9,986.9,3,10.4,11
1,986.2,3,11.2,12
15,985.6,3,11.6,13
17,984.9,3,13.0,14
16,984.3,3,12.7,15
19,984.4,3,12.3,16
6,984.4,3,11.7,17
3,984.7,3,10.9,18
6,984.9,3,9.3,19
14,985.2,3,9.1,20
20,985.3,3,7.8,21
20,985.2,3,6.5,22
20,984.7,3,6.8,23
18,984.7,4,5.4,0
20,984.4,4,4.2,1
20,984.3,4,3.9,2
18,984.3,4,4.3,4
18,984.5,4,2.9,5
13,984.8,4,4.3,6
13,984.9,4,4.6,7
8,985.2,4,7.8,8
6,985.1,4,9.8,9
7,984.7,4,11.6,10
5,984.5,4,13.8,11
9,984.2,4,14.7,12
16,984.0,4,15.2,13
17,983.6,4,15.2,14
18,983.3,4,15.3,15
10,983.0,4,15.1,16
16,982.9,4,14.5,17
9,983.2,4,13.4,18
5,983.7,4,12.8,19
7,984.4,4,11.1,20
5,984.9,4,8.9,21
20,984.9,4,9.5,23
20,985.4,5,10.0,0
20,984.9,5,9.8,1
20,985.2,5,10.1,2
19,985.2,5,9.8,3
18,985.1,5,9.0,4
18,985.6,5,9.0,5
20,986.0,5,8.8,6
20,986.6,5,9.4,7
19,987.2,5,10.9,8
20,987.6,5,10.6,9
19,988.0,5,11.9,10
17,987.6,5,13.2,11
19,987.3,5,15.0,12
17,986.8,5,14.8,13
20,986.6,5,13.9,14
18,986.4,5,14.5,15
17,986.2,5,14.6,16
