available_bike_stands,surface_pressure,dew_point,temperature,day_of_week
18,980.4,4.2,12.3,1
18,980.4,4.2,12.3,1
18,980.4,4.2,12.3,1
18,980.4,4.2,12.3,1
18,980.4,4.2,12.3,1
16,980.4,4.2,12.3,1
15,980.7,3.1,12.7,1
9,983.2,3.7,6.2,1
12,984.4,2.6,7.1,1
15,984.5,2.7,6.8,1
16,985.5,1.2,13.9,2
3,985.0,0.4,14.6,2
13,984.7,1.1,14.2,2
12,984.9,4.7,12.2,2
10,985.6,5.2,10.2,2
7,986.9,2.5,7.0,2
6,987.1,2.3,6.4,2
2,987.0,1.8,6.3,2
2,987.1,2.7,4.7,2
2,987.0,2.0,4.5,3
2,986.5,1.6,3.7,3
2,986.4,1.3,5.2,3
1,986.3,1.5,5.2,3
1,986.3,1.7,4.2,3
0,986.5,2.1,4.8,3
0,986.5,2.4,4.1,3
2,986.8,3.0,5.6,3
3,987.2,3.0,6.7,3
15,987.4,2.9,8.1,3
14,987.4,3.6,10.1,3
12,986.9,4.4,12.2,3
15,986.2,5.5,13.1,3
9,985.6,5.8,13.4,3
3,984.9,6.2,14.9,3
8,984.3,6.1,14.8,3
3,984.4,6.1,14.2,3
13,984.4,6.1,13.3,3
10,984.7,6.2,12.1,3
6,984.9,5.6,10.7,3
6,985.2,5.3,10.7,3
7,985.3,5.7,9.3,3
7,985.2,5.3,8.2,3
8,984.7,5.6,8.4,3
8,984.7,4.9,7.1,4
7,984.4,4.2,6.1,4
6,984.3,3.9,5.9,4
5,984.3,4.0,6.0,4
5,984.5,3.5,4.7,4
7,984.8,4.5,5.8,4
8,984.9,4.8,6.1,4
10,985.2,5.8,9.1,4
11,985.1,6.6,11.2,4
13,984.7,7.0,13.2,4
9,984.5,7.5,15.2,4
3,984.2,7.6,16.2,4
1,984.0,7.9,17.0,4
1,983.6,6.3,17.8,4
0,983.3,7.2,17.7,4
10,983.0,7.3,17.2,4
9,982.9,8.5,15.8,4
8,983.2,8.6,14.2,4
9,983.7,8.4,13.4,4
9,984.4,7.2,12.3,4
7,984.9,7.5,10.2,4
9,984.9,7.9,10.5,4
9,985.4,7.8,10.9,5
9,984.9,8.0,11.2,5
9,985.2,8.2,11.1,5
8,985.2,7.9,10.7,5
8,985.1,7.9,9.9,5
8,985.6,7.8,9.7,5
4,986.0,7.3,9.9,5
4,986.6,7.4,10.1,5
0,987.2,9.2,11.3,5
0,987.6,9.5,11.2,5
0,988.0,9.9,12.0,5
0,987.6,8.6,14.5,5
0,987.3,9.5,15.6,5
0,986.8,6.7,16.3,5
0,986.6,7.8,15.5,5
2,986.4,7.1,15.9,5
1,986.2,8.1,15.6,5
1,987.3,8.2,13.6,5
3,988.1,8.3,11.9,5
3,988.7,8.0,10.1,5
4,989.0,6.2,9.3,5
4,989.7,6.4,9.3,5
13,989.8,6.4,9.1,5
13,990.0,6.7,8.9,5
13,990.5,5.1,8.9,6
13,990.1,5.2,7.6,6
13,990.6,4.5,7.2,6
13,990.5,4.3,7.2,6
13,990.7,4.2,6.4,6
13,991.3,4.1,5.6,6
12,991.9,4.1,5.8,6
12,991.9,5.4,8.1,6
11,992.1,5.9,9.6,6
12,992.2,8.1,11.3,6
14,992.1,7.4,12.6,6
16,990.9,5.6,14.6,6
16,990.1,5.8,15.3,6
17,989.4,5.9,16.0,6
16,988.8,5.5,16.9,6
17,988.3,6.3,16.5,6
17,988.4,6.7,13.4,6
20,988.4,6.8,12.1,6
20,988.8,6.0,10.8,6
20,989.4,4.9,9.5,6
18,989.1,4.9,8.7,6
19,988.9,5.1,9.0,6
19,988.6,5.0,8.5,0
19,988.0,5.0,7.9,0
19,987.7,5.1,8.0,0
