available_bike_stands,surface_pressure,relative_humidity,apparent_temperature,temperature
17,980.4,58.0,9.8,12.3
17,980.4,58.0,9.8,12.3
17,980.4,58.0,9.8,12.3
17,980.4,58.0,9.8,12.3
15,980.4,58.0,9.8,12.3
12,980.4,58.0,9.8,12.3
3,980.7,52.0,9.3,12.7
9,983.2,84.0,4.1,6.2
7,984.4,73.0,4.6,7.1
7,984.5,75.0,4.4,6.8
18,985.5,42.0,11.4,13.9
5,985.0,38.0,11.8,14.6
7,984.7,41.0,11.3,14.2
10,984.9,60.0,10.4,12.2
5,985.6,71.0,8.8,10.2
3,986.9,73.0,5.0,7.0
1,987.1,75.0,4.2,6.4
2,987.0,73.0,4.1,6.3
2,987.1,87.0,2.7,4.7
3,987.0,84.0,2.2,4.5
3,986.5,86.0,1.3,3.7
3,986.4,76.0,2.9,5.2
3,986.3,77.0,3.1,5.2
3,986.3,84.0,2.0,4.2
0,986.5,83.0,2.6,4.8
4,986.5,89.0,1.9,4.1
3,986.8,83.0,3.4,5.6
7,987.2,77.0,4.7,6.7
17,987.4,70.0,5.9,8.1
18,987.4,64.0,8.1,10.1
20,986.9,59.0,10.4,12.2
18,986.2,60.0,11.2,13.1
19,985.6,60.0,11.6,13.4
16,984.9,56.0,13.0,14.9
15,984.3,56.0,12.7,14.8
12,984.4,58.0,12.3,14.2
10,984.4,62.0,11.7,13.3
3,984.7,67.0,10.9,12.1
0,984.9,71.0,9.3,10.7
2,985.2,69.0,9.1,10.7
7,985.3,78.0,7.8,9.3
8,985.2,82.0,6.5,8.2
6,984.7,83.0,6.8,8.4
6,984.7,86.0,5.4,7.1
6,984.4,88.0,4.2,6.1
6,984.3,87.0,3.9,5.9
6,984.3,87.0,4.3,6.0
6,984.5,92.0,2.9,4.7
8,984.8,91.0,4.3,5.8
17,984.9,91.0,4.6,6.1
19,985.2,80.0,7.8,9.1
