available_bike_stands,surface_pressure,temperature,dew_point,day_of_week
16,980.4,12.3,4.2,1
16,980.4,12.3,4.2,1
16,980.4,12.3,4.2,1
16,980.4,12.3,4.2,1
14,980.4,12.3,4.2,1
10,980.4,12.3,4.2,1
7,980.7,12.7,3.1,1
10,983.2,6.2,3.7,1
13,984.4,7.1,2.6,1
18,984.5,6.8,2.7,1
15,985.5,13.9,1.2,2
13,985.0,14.6,0.4,2
18,984.7,14.2,1.1,2
17,984.9,12.2,4.7,2
16,985.6,10.2,5.2,2
14,986.9,7.0,2.5,2
14,987.1,6.4,2.3,2
14,987.0,6.3,1.8,2
15,987.1,4.7,2.7,2
16,987.0,4.5,2.0,3
16,986.5,3.7,1.6,3
16,986.4,5.2,1.3,3
16,986.3,5.2,1.5,3
17,986.3,4.2,1.7,3
17,986.5,4.8,2.1,3
15,986.5,4.1,2.4,3
6,986.8,5.6,3.0,3
5,987.2,6.7,3.0,3
4,987.4,8.1,2.9,3
5,987.4,10.1,3.6,3
8,986.9,12.2,4.4,3
15,986.2,13.1,5.5,3
19,985.6,13.4,5.8,3
13,984.9,14.9,6.2,3
14,984.3,14.8,6.1,3
8,984.4,14.2,6.1,3
11,984.4,13.3,6.1,3
10,984.7,12.1,6.2,3
8,984.9,10.7,5.6,3
9,985.2,10.7,5.3,3
8,985.3,9.3,5.7,3
11,985.2,8.2,5.3,3
12,984.7,8.4,5.6,3
14,984.7,7.1,4.9,4
14,984.4,6.1,4.2,4
14,984.3,5.9,3.9,4
14,984.3,6.0,4.0,4
12,984.5,4.7,3.5,4
9,984.8,5.8,4.5,4
2,984.9,6.1,4.8,4
7,985.2,9.1,5.8,4
9,985.1,11.2,6.6,4
10,984.7,13.2,7.0,4
11,984.5,15.2,7.5,4
15,984.2,16.2,7.6,4
20,984.0,17.0,7.9,4
11,983.6,17.8,6.3,4
13,983.3,17.7,7.2,4
20,983.0,17.2,7.3,4
15,982.9,15.8,8.5,4
12,983.2,14.2,8.6,4
13,983.7,13.4,8.4,4
16,984.4,12.3,7.2,4
13,984.9,10.2,7.5,4
18,984.9,10.5,7.9,4
18,985.4,10.9,7.8,5
18,984.9,11.2,8.0,5
18,985.2,11.1,8.2,5
18,985.2,10.7,7.9,5
19,985.1,9.9,7.9,5
18,985.6,9.7,7.8,5
14,986.0,9.9,7.3,5
13,986.6,10.1,7.4,5
14,987.2,11.3,9.2,5
15,987.6,11.2,9.5,5
15,988.0,12.0,9.9,5
15,987.6,14.5,8.6,5
16,987.3,15.6,9.5,5
18,986.8,16.3,6.7,5
16,986.6,15.5,7.8,5
17,986.4,15.9,7.1,5
17,986.2,15.6,8.1,5
19,987.3,13.6,8.2,5
18,988.1,11.9,8.3,5
16,988.7,10.1,8.0,5
14,989.0,9.3,6.2,5
17,989.7,9.3,6.4,5
19,989.8,9.1,6.4,5
20,990.0,8.9,6.7,5
20,990.5,8.9,5.1,6
17,990.1,7.6,5.2,6
17,990.6,7.2,4.5,6
17,990.5,7.2,4.3,6
17,990.7,6.4,4.2,6
19,991.3,5.6,4.1,6
19,991.9,5.8,4.1,6
20,991.9,8.1,5.4,6
19,992.1,9.6,5.9,6
17,992.2,11.3,8.1,6
15,992.1,12.6,7.4,6
17,990.9,14.6,5.6,6
15,990.1,15.3,5.8,6
19,989.4,16.0,5.9,6
19,988.8,16.9,5.5,6
20,988.3,16.5,6.3,6
19,988.4,13.4,6.7,6
18,988.4,12.1,6.8,6
18,988.8,10.8,6.0,6
16,989.4,9.5,4.9,6
16,989.1,8.7,4.9,6
16,988.9,9.0,5.1,6
16,988.6,8.5,5.0,0
16,988.0,7.9,5.0,0
16,987.7,8.0,5.1,0
16,987.9,8.0,4.5,0
16,987.2,7.8,4.2,0
16,987.0,7.2,4.2,0
11,987.2,7.2,4.3,0
19,987.1,7.8,3.8,0
17,986.4,8.8,3.8,0
11,985.7,9.5,3.3,0
7,985.5,10.6,3.6,0
7,985.4,11.4,3.4,0
9,984.7,12.3,3.5,0
5,983.8,13.0,3.6,0
13,983.0,13.2,3.8,0
16,982.7,12.6,4.0,0
11,982.9,11.4,3.9,0
