available_bike_stands,temperature,day_of_week,surface_pressure,apparent_temperature
19,12.3,1,980.4,9.8
19,12.3,1,980.4,9.8
19,12.3,1,980.4,9.8
19,12.3,1,980.4,9.8
20,12.3,1,980.4,9.8
9,12.3,1,980.4,9.8
20,12.7,1,980.7,9.3
14,6.2,1,983.2,4.1
9,7.1,1,984.4,4.6
7,6.8,1,984.5,4.4
19,13.9,2,985.5,11.4
14,14.6,2,985.0,11.8
18,14.2,2,984.7,11.3
19,12.2,2,984.9,10.4
19,10.2,2,985.6,8.8
18,7.0,2,986.9,5.0
14,6.4,2,987.1,4.2
9,6.3,2,987.0,4.1
8,4.7,2,987.1,2.7
9,4.5,3,987.0,2.2
9,3.7,3,986.5,1.3
9,5.2,3,986.4,2.9
9,5.2,3,986.3,3.1
9,4.2,3,986.3,2.0
9,4.8,3,986.5,2.6
12,4.1,3,986.5,1.9
16,5.6,3,986.8,3.4
11,6.7,3,987.2,4.7
12,8.1,3,987.4,5.9
12,10.1,3,987.4,8.1
14,12.2,3,986.9,10.4
18,13.1,3,986.2,11.2
13,13.4,3,985.6,11.6
11,14.9,3,984.9,13.0
13,14.8,3,984.3,12.7
11,14.2,3,984.4,12.3
13,13.3,3,984.4,11.7
10,12.1,3,984.7,10.9
10,10.7,3,984.9,9.3
6,10.7,3,985.2,9.1
5,9.3,3,985.3,7.8
3,8.2,3,985.2,6.5
4,8.4,3,984.7,6.8
4,7.1,4,984.7,5.4
4,6.1,4,984.4,4.2
4,5.9,4,984.3,3.9
4,6.0,4,984.3,4.3
4,4.7,4,984.5,2.9
4,5.8,4,984.8,4.3
11,6.1,4,984.9,4.6
11,9.1,4,985.2,7.8
20,11.2,4,985.1,9.8
17,13.2,4,984.7,11.6
19,15.2,4,984.5,13.8
14,16.2,4,984.2,14.7
17,17.0,4,984.0,15.2
14,17.8,4,983.6,15.2
14,17.7,4,983.3,15.3
12,17.2,4,983.0,15.1
13,15.8,4,982.9,14.5
15,14.2,4,983.2,13.4
13,13.4,4,983.7,12.8
11,12.3,4,984.4,11.1
8,10.2,4,984.9,8.9
4,10.5,4,984.9,9.5
4,10.9,5,985.4,10.0
4,11.2,5,984.9,9.8
4,11.1,5,985.2,10.1
6,10.7,5,985.2,9.8
6,9.9,5,985.1,9.0
6,9.7,5,985.6,9.0
6,9.9,5,986.0,8.8
6,10.1,5,986.6,9.4
6,11.3,5,987.2,10.9
6,11.2,5,987.6,10.6
6,12.0,5,988.0,11.9
7,14.5,5,987.6,13.2
9,15.6,5,987.3,15.0
11,16.3,5,986.8,14.8
12,15.5,5,986.6,13.9
15,15.9,5,986.4,14.5
13,15.6,5,986.2,14.6
12,13.6,5,987.3,12.0
11,11.9,5,988.1,10.7
11,10.1,5,988.7,9.0
8,9.3,5,989.0,7.9
8,9.3,5,989.7,7.9
7,9.1,5,989.8,7.6
5,8.9,5,990.0,7.5
7,8.9,6,990.5,7.2
7,7.6,6,990.1,5.8
7,7.2,6,990.6,5.3
7,7.2,6,990.5,5.3
7,6.4,6,990.7,4.6
7,5.6,6,991.3,3.5
7,5.8,6,991.9,3.8
6,8.1,6,991.9,6.6
7,9.6,6,992.1,8.1
9,11.3,6,992.2,9.4
11,12.6,6,992.1,10.3
11,14.6,6,990.9,12.0
8,15.3,6,990.1,12.5
7,16.0,6,989.4,13.2
9,16.9,6,988.8,14.1
13,16.5,6,988.3,13.5
17,13.4,6,988.4,11.4
17,12.1,6,988.4,10.8
16,10.8,6,988.8,9.2
16,9.5,6,989.4,7.7
17,8.7,6,989.1,7.0
18,9.0,6,988.9,7.4
18,8.5,0,988.6,7.0
18,7.9,0,988.0,6.4
18,8.0,0,987.7,6.4
18,8.0,0,987.9,6.4
17,7.8,0,987.2,6.1
18,7.2,0,987.0,5.5
20,7.2,0,987.2,5.6
18,7.8,0,987.1,5.9
20,8.8,0,986.4,6.4
13,9.5,0,985.7,6.9
10,10.6,0,985.5,8.1
