available_bike_stands,surface_pressure,hour,dew_point,day_of_week
9,980.4,12,4.2,1
9,980.4,12,4.2,1
9,980.4,12,4.2,1
9,980.4,12,4.2,1
9,980.4,12,4.2,1
19,980.4,12,4.2,1
17,980.7,14,3.1,1
0,983.2,19,3.7,1
9,984.4,21,2.6,1
8,984.5,22,2.7,1
8,985.5,11,1.2,2
14,985.0,14,0.4,2
17,984.7,15,1.1,2
0,984.9,17,4.7,2
4,985.6,18,5.2,2
10,986.9,20,2.5,2
14,987.1,21,2.3,2
11,987.0,22,1.8,2
9,987.1,23,2.7,2
8,987.0,0,2.0,3
6,986.5,1,1.6,3
6,986.4,2,1.3,3
5,986.3,3,1.5,3
5,986.3,4,1.7,3
7,986.5,5,2.1,3
11,986.5,6,2.4,3
6,986.8,7,3.0,3
4,987.2,8,3.0,3
7,987.4,9,2.9,3
11,987.4,10,3.6,3
12,986.9,11,4.4,3
8,986.2,12,5.5,3
15,985.6,13,5.8,3
19,984.9,14,6.2,3
18,984.3,15,6.1,3
18,984.4,16,6.1,3
11,984.4,17,6.1,3
3,984.7,18,6.2,3
4,984.9,19,5.6,3
2,985.2,20,5.3,3
4,985.3,21,5.7,3
4,985.2,22,5.3,3
2,984.7,23,5.6,3
2,984.7,0,4.9,4
2,984.4,1,4.2,4
2,984.3,2,3.9,4
3,984.3,4,4.0,4
4,984.5,5,3.5,4
11,984.8,6,4.5,4
18,984.9,7,4.8,4
20,985.2,8,5.8,4
16,985.1,9,6.6,4
12,984.7,10,7.0,4
12,984.5,11,7.5,4
17,984.2,12,7.6,4
13,984.0,13,7.9,4
19,983.6,14,6.3,4
14,983.3,15,7.2,4
15,983.0,16,7.3,4
15,982.9,17,8.5,4
17,983.2,18,8.6,4
13,983.7,19,8.4,4
18,984.4,20,7.2,4
19,984.9,21,7.5,4
13,984.9,23,7.9,4
11,985.4,0,7.8,5
8,984.9,1,8.0,5
9,985.2,2,8.2,5
4,985.2,3,7.9,5
3,985.1,4,7.9,5
3,985.6,5,7.8,5
5,986.0,6,7.3,5
5,986.6,7,7.4,5
4,987.2,8,9.2,5
7,987.6,9,9.5,5
9,988.0,10,9.9,5
10,987.6,11,8.6,5
13,987.3,12,9.5,5
14,986.8,13,6.7,5
17,986.6,14,7.8,5
19,986.4,15,7.1,5
19,986.2,16,8.1,5
18,987.3,17,8.2,5
20,988.1,18,8.3,5
17,988.7,19,8.0,5
14,989.0,20,6.2,5
15,989.7,21,6.4,5
17,989.8,22,6.4,5
19,990.0,23,6.7,5
15,990.5,0,5.1,6
13,990.1,1,5.2,6
12,990.6,2,4.5,6
11,990.5,3,4.3,6
10,990.7,4,4.2,6
9,991.3,5,4.1,6
10,991.9,6,4.1,6
10,991.9,7,5.4,6
9,992.1,8,5.9,6
12,992.2,9,8.1,6
14,992.1,10,7.4,6
16,990.9,11,5.6,6
13,990.1,12,5.8,6
18,989.4,13,5.9,6
18,988.8,14,5.5,6
18,988.3,15,6.3,6
16,988.4,17,6.7,6
17,988.4,18,6.8,6
14,988.8,19,6.0,6
0,989.4,21,4.9,6
1,989.1,22,4.9,6
0,988.9,23,5.1,6
0,988.6,0,5.0,0
0,988.0,1,5.0,0
0,987.7,2,5.1,0
0,987.9,3,4.5,0
0,987.2,4,4.2,0
4,987.0,5,4.2,0
5,987.2,6,4.3,0
15,987.1,7,3.8,0
12,986.4,8,3.8,0
11,985.7,9,3.3,0
9,985.5,10,3.6,0
11,985.4,11,3.4,0
6,984.7,12,3.5,0
10,983.8,13,3.6,0
3,983.0,14,3.8,0
15,982.7,15,4.0,0
14,982.9,16,3.9,0
16,983.6,17,4.1,0
11,984.1,18,4.3,0
15,984.7,19,4.8,0
13,985.0,20,5.6,0
12,985.7,21,4.7,0
12,986.1,22,3.3,0
13,986.4,23,2.5,0
14,987.1,0,0.1,1
13,986.8,1,-0.9,1
13,987.3,2,-1.3,1
12,988.1,4,-1.7,1
12,988.4,5,-2.2,1
18,989.1,6,-2.3,1
18,989.7,7,-2.3,1
18,990.2,8,-2.6,1
17,990.5,9,-3.1,1
12,990.4,10,-3.5,1
8,990.0,11,-3.2,1
2,990.1,12,-2.5,1
7,989.7,13,-2.1,1
5,989.6,14,-1.8,1
0,989.7,15,-1.0,1
0,990.0,16,-1.0,1
3,990.4,17,-0.6,1
5,991.0,18,0.7,1
5,991.7,19,0.7,1
