available_bike_stands,surface_pressure,temperature,apparent_temperature,day_of_week
15,980.4,12.3,9.8,1
15,980.4,12.3,9.8,1
15,980.4,12.3,9.8,1
15,980.4,12.3,9.8,1
15,980.4,12.3,9.8,1
17,980.4,12.3,9.8,1
16,980.7,12.7,9.3,1
14,983.2,6.2,4.1,1
18,984.4,7.1,4.6,1
18,984.5,6.8,4.4,1
10,985.5,13.9,11.4,2
19,985.0,14.6,11.8,2
14,984.7,14.2,11.3,2
6,984.9,12.2,10.4,2
11,985.6,10.2,8.8,2
6,986.9,7.0,5.0,2
4,987.1,6.4,4.2,2
6,987.0,6.3,4.1,2
8,987.1,4.7,2.7,2
10,987.0,4.5,2.2,3
9,986.5,3.7,1.3,3
9,986.4,5.2,2.9,3
9,986.3,5.2,3.1,3
9,986.3,4.2,2.0,3
9,986.5,4.8,2.6,3
9,986.5,4.1,1.9,3
14,986.8,5.6,3.4,3
12,987.2,6.7,4.7,3
10,987.4,8.1,5.9,3
16,987.4,10.1,8.1,3
14,986.9,12.2,10.4,3
18,986.2,13.1,11.2,3
20,985.6,13.4,11.6,3
11,984.9,14.9,13.0,3
13,984.3,14.8,12.7,3
16,984.4,14.2,12.3,3
19,984.4,13.3,11.7,3
14,984.7,12.1,10.9,3
14,984.9,10.7,9.3,3
9,985.2,10.7,9.1,3
9,985.3,9.3,7.8,3
10,985.2,8.2,6.5,3
10,984.7,8.4,6.8,3
10,984.7,7.1,5.4,4
11,984.4,6.1,4.2,4
11,984.3,5.9,3.9,4
11,984.3,6.0,4.3,4
12,984.5,4.7,2.9,4
9,984.8,5.8,4.3,4
6,984.9,6.1,4.6,4
5,985.2,9.1,7.8,4
8,985.1,11.2,9.8,4
13,984.7,13.2,11.6,4
17,984.5,15.2,13.8,4
11,984.2,16.2,14.7,4
10,984.0,17.0,15.2,4
3,983.6,17.8,15.2,4
1,983.3,17.7,15.3,4
2,983.0,17.2,15.1,4
0,982.9,15.8,14.5,4
3,983.2,14.2,13.4,4
2,983.7,13.4,12.8,4
1,984.4,12.3,11.1,4
1,984.9,10.2,8.9,4
6,984.9,10.5,9.5,4
7,985.4,10.9,10.0,5
9,984.9,11.2,9.8,5
9,985.2,11.1,10.1,5
9,985.2,10.7,9.8,5
9,985.1,9.9,9.0,5
8,985.6,9.7,9.0,5
8,986.0,9.9,8.8,5
8,986.6,10.1,9.4,5
7,987.2,11.3,10.9,5
6,987.6,11.2,10.6,5
7,988.0,12.0,11.9,5
6,987.6,14.5,13.2,5
5,987.3,15.6,15.0,5
4,986.8,16.3,14.8,5
6,986.6,15.5,13.9,5
7,986.4,15.9,14.5,5
7,986.2,15.6,14.6,5
7,987.3,13.6,12.0,5
11,988.1,11.9,10.7,5
9,988.7,10.1,9.0,5
12,989.0,9.3,7.9,5
14,989.7,9.3,7.9,5
13,989.8,9.1,7.6,5
10,990.0,8.9,7.5,5
12,990.5,8.9,7.2,6
12,990.1,7.6,5.8,6
13,990.6,7.2,5.3,6
13,990.5,7.2,5.3,6
13,990.7,6.4,4.6,6
13,991.3,5.6,3.5,6
13,991.9,5.8,3.8,6
14,991.9,8.1,6.6,6
15,992.1,9.6,8.1,6
16,992.2,11.3,9.4,6
15,992.1,12.6,10.3,6
15,990.9,14.6,12.0,6
15,990.1,15.3,12.5,6
18,989.4,16.0,13.2,6
16,988.8,16.9,14.1,6
