available_bike_stands,apparent_temperature,temperature,surface_pressure,hour
20,9.8,12.3,980.4,12
20,9.8,12.3,980.4,12
20,9.8,12.3,980.4,12
20,9.8,12.3,980.4,12
20,9.8,12.3,980.4,12
17,9.8,12.3,980.4,12
13,9.3,12.7,980.7,14
0,4.1,6.2,983.2,19
6,4.6,7.1,984.4,21
4,4.4,6.8,984.5,22
20,11.4,13.9,985.5,11
19,11.8,14.6,985.0,14
18,11.3,14.2,984.7,15
20,10.4,12.2,984.9,17
10,8.8,10.2,985.6,18
6,5.0,7.0,986.9,20
2,4.2,6.4,987.1,21
1,4.1,6.3,987.0,22
1,2.7,4.7,987.1,23
0,2.2,4.5,987.0,0
0,1.3,3.7,986.5,1
0,2.9,5.2,986.4,2
0,3.1,5.2,986.3,3
0,2.0,4.2,986.3,4
0,2.6,4.8,986.5,5
1,1.9,4.1,986.5,6
5,3.4,5.6,986.8,7
9,4.7,6.7,987.2,8
20,5.9,8.1,987.4,9
10,8.1,10.1,987.4,10
12,10.4,12.2,986.9,11
13,11.2,13.1,986.2,12
16,11.6,13.4,985.6,13
16,13.0,14.9,984.9,14
6,12.7,14.8,984.3,15
11,12.3,14.2,984.4,16
17,11.7,13.3,984.4,17
6,10.9,12.1,984.7,18
6,9.3,10.7,984.9,19
6,9.1,10.7,985.2,20
0,7.8,9.3,985.3,21
0,6.5,8.2,985.2,22
0,6.8,8.4,984.7,23
0,5.4,7.1,984.7,0
1,4.2,6.1,984.4,1
1,3.9,5.9,984.3,2
1,4.3,6.0,984.3,4
1,2.9,4.7,984.5,5
2,4.3,5.8,984.8,6
6,4.6,6.1,984.9,7
7,7.8,9.1,985.2,8
8,9.8,11.2,985.1,9
8,11.6,13.2,984.7,10
9,13.8,15.2,984.5,11
7,14.7,16.2,984.2,12
6,15.2,17.0,984.0,13
8,15.2,17.8,983.6,14
11,15.3,17.7,983.3,15
13,15.1,17.2,983.0,16
16,14.5,15.8,982.9,17
12,13.4,14.2,983.2,18
8,12.8,13.4,983.7,19
10,11.1,12.3,984.4,20
12,8.9,10.2,984.9,21
13,9.5,10.5,984.9,23
14,10.0,10.9,985.4,0
14,9.8,11.2,984.9,1
14,10.1,11.1,985.2,2
14,9.8,10.7,985.2,3
14,9.0,9.9,985.1,4
16,9.0,9.7,985.6,5
19,8.8,9.9,986.0,6
17,9.4,10.1,986.6,7
17,10.9,11.3,987.2,8
18,10.6,11.2,987.6,9
18,11.9,12.0,988.0,10
20,13.2,14.5,987.6,11
20,15.0,15.6,987.3,12
19,14.8,16.3,986.8,13
20,13.9,15.5,986.6,14
19,14.5,15.9,986.4,15
17,14.6,15.6,986.2,16
13,12.0,13.6,987.3,17
12,10.7,11.9,988.1,18
13,9.0,10.1,988.7,19
13,7.9,9.3,989.0,20
9,7.9,9.3,989.7,21
9,7.6,9.1,989.8,22
11,7.5,8.9,990.0,23
12,7.2,8.9,990.5,0
12,5.8,7.6,990.1,1
12,5.3,7.2,990.6,2
12,5.3,7.2,990.5,3
12,4.6,6.4,990.7,4
14,3.5,5.6,991.3,5
14,3.8,5.8,991.9,6
14,6.6,8.1,991.9,7
20,8.1,9.6,992.1,8
20,9.4,11.3,992.2,9
20,10.3,12.6,992.1,10
18,12.0,14.6,990.9,11
17,12.5,15.3,990.1,12
16,13.2,16.0,989.4,13
19,14.1,16.9,988.8,14
16,13.5,16.5,988.3,15
20,11.4,13.4,988.4,17
17,10.8,12.1,988.4,18
20,9.2,10.8,988.8,19
14,7.7,9.5,989.4,21
9,7.0,8.7,989.1,22
5,7.4,9.0,988.9,23
4,7.0,8.5,988.6,0
2,6.4,7.9,988.0,1
2,6.4,8.0,987.7,2
2,6.4,8.0,987.9,3
2,6.1,7.8,987.2,4
2,5.5,7.2,987.0,5
4,5.6,7.2,987.2,6
6,5.9,7.8,987.1,7
12,6.4,8.8,986.4,8
12,6.9,9.5,985.7,9
15,8.1,10.6,985.5,10
18,8.8,11.4,985.4,11
12,9.6,12.3,984.7,12
11,10.1,13.0,983.8,13
9,10.5,13.2,983.0,14
10,9.9,12.6,982.7,15
11,8.8,11.4,982.9,16
6,8.6,10.7,983.6,17
10,8.4,10.1,984.1,18
7,8.4,9.8,984.7,19
8,7.8,9.2,985.0,20
6,7.1,8.9,985.7,21
5,7.0,8.7,986.1,22
0,5.5,8.1,986.4,23
0,4.4,7.3,987.1,0
0,3.7,6.8,986.8,1
0,2.9,6.1,987.3,2
0,2.0,5.2,988.1,4
0,1.7,5.0,988.4,5
1,1.1,4.6,989.1,6
10,1.2,4.6,989.7,7
11,1.6,5.2,990.2,8
16,2.1,5.8,990.5,9
16,2.8,6.7,990.4,10
20,4.4,7.7,990.0,11
5,5.2,8.5,990.1,12
8,5.1,8.6,989.7,13
3,5.8,9.0,989.6,14
15,6.1,9.1,989.7,15
12,5.9,8.8,990.0,16
9,5.8,8.7,990.4,17
10,5.5,7.8,991.0,18
8,4.7,6.9,991.7,19
13,3.4,5.8,992.1,20
14,2.9,5.3,992.7,21
16,2.1,4.7,992.8,22
16,0.8,3.2,992.4,23
15,0.6,3.0,992.6,0
15,-0.1,2.2,992.2,1
15,-0.3,2.0,992.2,2
15,-0.3,2.0,992.3,3
16,-0.3,2.0,992.0,4
17,-1.5,1.1,992.2,5
20,-1.2,1.2,992.3,6
20,0.9,3.4,992.7,8
16,3.7,6.1,992.4,9
17,7.2,9.3,992.3,10
20,10.1,11.8,991.8,11
15,11.2,13.3,991.4,12
18,11.5,14.1,990.8,13
16,11.6,14.8,989.9,14
20,11.5,14.6,989.6,15
20,11.2,14.0,989.5,16
11,9.8,12.9,989.5,17
13,8.5,11.0,989.8,18
15,8.3,9.8,990.1,19
18,7.1,8.9,990.2,20
12,6.9,8.5,990.4,21
13,6.0,7.7,990.4,22
7,4.9,6.7,990.4,23
7,5.1,6.8,989.8,0
7,3.2,5.2,990.2,1
7,3.5,5.4,990.0,2
7,3.0,4.8,989.6,4
8,1.0,2.9,989.4,5
9,0.6,2.5,989.4,6
17,3.2,5.2,989.6,7
17,7.4,9.3,989.5,8
18,10.8,12.5,989.4,9
16,13.7,15.1,989.1,10
19,14.9,16.4,989.3,11
19,16.4,17.5,988.8,12
20,16.0,17.9,988.3,13
11,15.6,16.9,988.0,14
14,15.0,16.1,987.8,15
9,15.0,15.6,987.5,16
12,13.5,14.6,988.1,17
7,12.0,13.0,988.7,18
13,10.8,11.8,988.7,19
13,10.0,11.9,989.0,20
12,8.4,10.2,989.8,21
8,8.1,10.1,989.9,22
7,9.5,11.0,990.3,23
9,9.0,11.1,990.3,0
8,9.2,11.4,990.2,1
8,8.7,10.8,990.2,2
8,8.4,10.6,990.0,3
8,7.7,10.1,989.9,4
6,8.1,10.5,989.6,5
11,8.0,10.5,989.9,6
17,9.7,11.8,989.9,7
19,11.6,13.5,990.6,8
10,13.5,15.5,990.3,9
10,14.8,16.7,989.8,10
10,16.0,18.6,987.2,13
8,15.9,19.2,986.1,14
13,15.7,18.7,985.4,15
14,15.5,18.2,985.1,16
18,15.1,17.0,984.5,17
14,12.0,13.4,984.7,18
18,10.3,11.8,984.7,19
16,9.1,10.8,984.3,20
17,8.5,10.2,983.9,21
10,7.7,9.5,983.4,22
9,6.2,8.0,983.4,23
5,6.0,7.8,982.7,0
5,6.0,7.7,982.1,1
4,5.0,6.9,981.4,2
3,4.6,6.1,980.3,3
2,5.5,6.8,979.9,4
3,4.7,6.3,979.9,5
4,7.0,8.4,979.6,7
5,9.3,10.8,978.5,8
6,12.8,14.2,977.7,9
8,15.7,17.1,976.6,10
10,15.8,17.5,975.7,11
9,17.6,19.1,975.0,12
13,15.7,19.7,974.3,14
12,15.9,19.1,973.5,15
9,15.1,17.9,973.2,16
15,13.4,16.4,973.9,17
15,3.5,8.8,977.0,18
15,2.7,7.0,977.5,19
15,2.5,6.8,979.9,20
15,3.1,6.2,980.2,21
15,3.8,6.0,979.4,22
17,3.9,5.9,979.7,23
17,1.5,4.6,979.5,0
15,0.7,3.5,979.9,1
15,1.5,3.7,979.3,2
15,1.7,3.8,978.9,3
15,2.1,3.9,979.0,4
16,2.5,4.9,978.4,5
16,2.4,4.8,979.0,6
16,3.1,5.9,978.8,7
16,5.1,7.7,979.1,8
18,6.7,9.7,978.6,9
17,8.1,10.9,977.7,10
19,9.0,11.7,977.1,11
18,9.7,12.5,976.2,12
16,9.8,12.9,975.3,13
17,7.8,12.7,974.8,14
17,7.6,12.0,974.9,15
19,5.5,8.7,975.5,16
20,2.1,5.4,976.8,17
20,2.8,4.7,976.9,19
19,2.2,4.3,977.2,20
17,1.5,3.6,977.1,21
13,1.1,3.2,976.7,22
7,0.9,3.3,977.0,23
3,0.3,2.8,977.1,0
4,-0.4,2.3,977.1,1
3,0.1,3.1,976.9,2
3,0.1,3.4,977.3,3
3,-0.0,3.4,977.2,4
5,0.6,4.3,978.3,6
13,2.7,6.7,978.4,7
20,4.7,9.1,978.3,8
12,6.2,10.8,978.2,9
11,7.8,12.0,978.2,10
17,8.5,12.5,977.8,11
11,10.6,13.8,976.7,13
8,10.7,14.0,976.1,14
8,10.5,13.8,975.7,15
7,10.1,13.4,975.4,16
17,8.8,11.9,975.4,17
14,7.1,9.7,975.6,18
15,5.3,7.6,975.9,19
13,4.6,7.4,976.0,20
12,4.2,7.1,975.9,21
11,3.7,6.4,975.8,22
10,3.2,5.8,976.2,23
8,1.9,4.3,976.2,0
7,1.9,4.5,975.9,1
7,1.1,3.8,975.1,2
7,0.1,2.9,974.5,3
7,0.1,3.1,974.1,4
7,0.3,3.1,973.8,5
8,0.7,4.0,973.9,6
13,3.0,6.7,973.8,7
8,9.6,13.9,973.1,9
15,10.5,14.6,972.8,10
16,11.2,15.2,972.0,11
11,11.4,15.3,971.5,12
12,11.8,15.9,970.9,13
16,10.8,15.3,970.4,14
18,10.1,14.7,970.3,15
11,9.2,13.5,970.4,16
14,8.1,12.3,970.5,17
8,7.7,11.4,970.4,18
1,8.3,11.0,970.0,19
10,8.4,10.3,969.3,21
4,7.9,10.0,969.1,22
0,7.7,10.1,969.2,23
0,7.9,10.0,968.6,0
1,7.4,9.7,968.5,1
1,7.1,9.4,967.9,2
1,7.5,9.7,967.6,3
3,6.5,9.1,967.0,4
4,7.0,8.8,967.0,5
9,6.5,8.9,966.7,6
12,7.6,10.0,966.5,7
13,9.2,11.7,966.9,8
15,10.2,13.0,966.5,9
15,14.1,16.7,965.4,11
14,14.2,17.5,964.3,12
12,15.2,18.1,963.4,13
10,14.8,17.8,962.8,14
18,15.1,16.7,962.2,16
15,14.8,15.1,961.6,17
12,14.0,14.3,961.3,18
11,13.3,13.5,961.1,19
11,13.0,13.9,960.6,20
9,11.1,12.9,960.8,21
9,9.8,11.9,961.0,22
6,9.5,11.8,962.0,23
4,7.6,12.2,961.4,0
4,7.6,11.5,960.8,1
4,5.8,11.0,962.2,2
4,7.1,10.6,963.4,3
4,5.1,10.1,963.9,4
5,5.7,10.4,965.4,6
17,8.1,11.8,966.4,7
19,9.7,13.4,966.9,8
18,10.8,14.6,967.8,9
17,12.3,15.9,968.5,10
20,11.7,15.6,969.9,11
12,11.7,15.2,969.8,12
16,11.1,14.4,970.0,13
14,9.9,12.1,970.2,14
8,10.0,12.2,969.4,15
9,9.6,11.7,969.1,16
8,8.3,10.6,969.3,17
7,8.3,9.9,969.5,18
9,9.1,10.0,971.8,20
7,7.5,9.9,975.0,21
8,5.3,8.5,977.1,22
8,5.5,7.4,977.1,23
5,4.8,6.5,978.4,0
5,4.6,6.1,979.0,1
5,4.2,5.8,979.3,2
5,3.5,5.3,979.7,3
5,3.1,5.1,979.7,4
5,3.2,4.9,980.1,5
7,3.6,5.4,980.3,6
10,5.8,7.3,980.3,7
15,9.5,11.5,980.2,8
10,13.1,15.2,980.1,9
10,15.8,18.5,979.9,10
11,16.2,18.7,979.8,11
17,16.1,18.7,979.7,12
16,16.4,18.8,979.8,13
16,15.8,17.8,979.4,14
18,15.9,17.7,979.6,15
19,15.5,17.4,979.3,16
20,13.9,16.2,978.4,17
18,14.0,16.1,978.4,18
16,14.4,16.5,978.7,19
16,13.9,16.9,979.1,20
16,14.4,16.7,980.2,21
16,13.5,14.8,980.2,22
16,13.1,14.7,980.5,23
12,12.5,14.0,980.4,0
10,10.6,12.1,980.3,1
9,10.2,11.7,980.2,2
8,9.4,10.6,979.7,5
13,9.6,10.7,979.5,6
18,11.7,12.7,979.5,7
15,14.1,14.8,979.9,8
15,18.3,18.5,979.4,9
17,19.1,21.5,978.9,10
19,19.7,21.5,978.6,11
20,20.4,22.0,977.9,12
18,19.8,22.6,977.3,13
19,19.5,22.2,976.4,14
17,20.0,22.1,976.2,15
19,19.7,21.6,975.5,16
20,18.1,20.1,975.4,17
13,14.9,17.1,976.3,19
11,13.1,14.8,975.7,20
7,13.1,14.8,975.7,20
6,12.2,13.8,976.1,21
