available_bike_stands,surface_pressure,day_of_week,temperature,apparent_temperature
7,980.4,1,12.3,9.8
7,980.4,1,12.3,9.8
7,980.4,1,12.3,9.8
7,980.4,1,12.3,9.8
7,980.4,1,12.3,9.8
12,980.4,1,12.3,9.8
11,980.7,1,12.7,9.3
22,983.2,1,6.2,4.1
9,984.4,1,7.1,4.6
10,984.5,1,6.8,4.4
13,985.5,2,13.9,11.4
21,985.0,2,14.6,11.8
11,984.7,2,14.2,11.3
8,984.9,2,12.2,10.4
10,985.6,2,10.2,8.8
18,986.9,2,7.0,5.0
19,987.1,2,6.4,4.2
21,987.0,2,6.3,4.1
21,987.1,2,4.7,2.7
20,987.0,3,4.5,2.2
20,986.5,3,3.7,1.3
20,986.4,3,5.2,2.9
20,986.3,3,5.2,3.1
20,986.3,3,4.2,2.0
21,986.5,3,4.8,2.6
22,986.5,3,4.1,1.9
22,986.8,3,5.6,3.4
22,987.2,3,6.7,4.7
8,987.4,3,8.1,5.9
12,987.4,3,10.1,8.1
18,986.9,3,12.2,10.4
22,986.2,3,13.1,11.2
21,985.6,3,13.4,11.6
21,984.9,3,14.9,13.0
17,984.3,3,14.8,12.7
14,984.4,3,14.2,12.3
9,984.4,3,13.3,11.7
15,984.7,3,12.1,10.9
21,984.9,3,10.7,9.3
20,985.2,3,10.7,9.1
19,985.3,3,9.3,7.8
19,985.2,3,8.2,6.5
22,984.7,3,8.4,6.8
21,984.7,4,7.1,5.4
22,984.4,4,6.1,4.2
22,984.3,4,5.9,3.9
22,984.3,4,6.0,4.3
22,984.5,4,4.7,2.9
22,984.8,4,5.8,4.3
21,984.9,4,6.1,4.6
10,985.2,4,9.1,7.8
12,985.1,4,11.2,9.8
17,984.7,4,13.2,11.6
22,984.5,4,15.2,13.8
20,984.2,4,16.2,14.7
22,984.0,4,17.0,15.2
20,983.6,4,17.8,15.2
22,983.3,4,17.7,15.3
18,983.0,4,17.2,15.1
17,982.9,4,15.8,14.5
19,983.2,4,14.2,13.4
22,983.7,4,13.4,12.8
22,984.4,4,12.3,11.1
19,984.9,4,10.2,8.9
21,984.9,4,10.5,9.5
21,985.4,5,10.9,10.0
16,984.9,5,11.2,9.8
16,985.2,5,11.1,10.1
15,985.2,5,10.7,9.8
15,985.1,5,9.9,9.0
15,985.6,5,9.7,9.0
16,986.0,5,9.9,8.8
18,986.6,5,10.1,9.4
20,987.2,5,11.3,10.9
20,987.6,5,11.2,10.6
22,988.0,5,12.0,11.9
22,987.6,5,14.5,13.2
20,987.3,5,15.6,15.0
22,986.8,5,16.3,14.8
21,986.6,5,15.5,13.9
20,986.4,5,15.9,14.5
21,986.2,5,15.6,14.6
22,987.3,5,13.6,12.0
21,988.1,5,11.9,10.7
21,988.7,5,10.1,9.0
22,989.0,5,9.3,7.9
22,989.7,5,9.3,7.9
22,989.8,5,9.1,7.6
22,990.0,5,8.9,7.5
22,990.5,6,8.9,7.2
21,990.1,6,7.6,5.8
21,990.6,6,7.2,5.3
21,990.5,6,7.2,5.3
21,990.7,6,6.4,4.6
21,991.3,6,5.6,3.5
22,991.9,6,5.8,3.8
22,991.9,6,8.1,6.6
22,992.1,6,9.6,8.1
22,992.2,6,11.3,9.4
22,992.1,6,12.6,10.3
20,990.9,6,14.6,12.0
20,990.1,6,15.3,12.5
20,989.4,6,16.0,13.2
15,988.8,6,16.9,14.1
21,988.3,6,16.5,13.5
20,988.4,6,13.4,11.4
19,988.4,6,12.1,10.8
20,988.8,6,10.8,9.2
18,989.4,6,9.5,7.7
13,989.1,6,8.7,7.0
11,988.9,6,9.0,7.4
10,988.6,0,8.5,7.0
10,988.0,0,7.9,6.4
10,987.7,0,8.0,6.4
10,987.9,0,8.0,6.4
10,987.2,0,7.8,6.1
12,987.0,0,7.2,5.5
14,987.2,0,7.2,5.6
20,987.1,0,7.8,5.9
6,986.4,0,8.8,6.4
10,985.7,0,9.5,6.9
12,985.5,0,10.6,8.1
15,985.4,0,11.4,8.8
22,984.7,0,12.3,9.6
19,983.8,0,13.0,10.1
20,983.0,0,13.2,10.5
18,982.7,0,12.6,9.9
10,982.9,0,11.4,8.8
10,983.6,0,10.7,8.6
9,984.1,0,10.1,8.4
11,984.7,0,9.8,8.4
11,985.0,0,9.2,7.8
11,985.7,0,8.9,7.1
10,986.1,0,8.7,7.0
9,986.4,0,8.1,5.5
10,987.1,1,7.3,4.4
10,986.8,1,6.8,3.7
10,987.3,1,6.1,2.9
10,988.1,1,5.2,2.0
13,988.4,1,5.0,1.7
15,989.1,1,4.6,1.1
22,989.7,1,4.6,1.2
17,990.2,1,5.2,1.6
16,990.5,1,5.8,2.1
17,990.4,1,6.7,2.8
16,990.0,1,7.7,4.4
18,990.1,1,8.5,5.2
18,989.7,1,8.6,5.1
21,989.6,1,9.0,5.8
