available_bike_stands,dew_point,surface_pressure,temperature,apparent_temperature
15,4.2,980.4,12.3,9.8
15,4.2,980.4,12.3,9.8
15,4.2,980.4,12.3,9.8
15,4.2,980.4,12.3,9.8
12,4.2,980.4,12.3,9.8
13,4.2,980.4,12.3,9.8
7,3.1,980.7,12.7,9.3
6,3.7,983.2,6.2,4.1
19,2.6,984.4,7.1,4.6
19,2.7,984.5,6.8,4.4
15,1.2,985.5,13.9,11.4
8,0.4,985.0,14.6,11.8
6,1.1,984.7,14.2,11.3
4,4.7,984.9,12.2,10.4
6,5.2,985.6,10.2,8.8
10,2.5,986.9,7.0,5.0
9,2.3,987.1,6.4,4.2
8,1.8,987.0,6.3,4.1
8,2.7,987.1,4.7,2.7
8,2.0,987.0,4.5,2.2
8,1.6,986.5,3.7,1.3
8,1.3,986.4,5.2,2.9
8,1.5,986.3,5.2,3.1
8,1.7,986.3,4.2,2.0
8,2.1,986.5,4.8,2.6
9,2.4,986.5,4.1,1.9
7,3.0,986.8,5.6,3.4
5,3.0,987.2,6.7,4.7
9,2.9,987.4,8.1,5.9
6,3.6,987.4,10.1,8.1
13,4.4,986.9,12.2,10.4
10,5.5,986.2,13.1,11.2
4,5.8,985.6,13.4,11.6
12,6.2,984.9,14.9,13.0
2,6.1,984.3,14.8,12.7
4,6.1,984.4,14.2,12.3
11,6.1,984.4,13.3,11.7
9,6.2,984.7,12.1,10.9
6,5.6,984.9,10.7,9.3
3,5.3,985.2,10.7,9.1
7,5.7,985.3,9.3,7.8
6,5.3,985.2,8.2,6.5
6,5.6,984.7,8.4,6.8
5,4.9,984.7,7.1,5.4
5,4.2,984.4,6.1,4.2
5,3.9,984.3,5.9,3.9
5,4.0,984.3,6.0,4.3
5,3.5,984.5,4.7,2.9
4,4.5,984.8,5.8,4.3
2,4.8,984.9,6.1,4.6
1,5.8,985.2,9.1,7.8
19,6.6,985.1,11.2,9.8
20,7.0,984.7,13.2,11.6
14,7.5,984.5,15.2,13.8
9,7.6,984.2,16.2,14.7
1,7.9,984.0,17.0,15.2
6,6.3,983.6,17.8,15.2
2,7.2,983.3,17.7,15.3
1,7.3,983.0,17.2,15.1
10,8.5,982.9,15.8,14.5
0,8.6,983.2,14.2,13.4
2,8.4,983.7,13.4,12.8
20,7.2,984.4,12.3,11.1
20,7.5,984.9,10.2,8.9
18,7.9,984.9,10.5,9.5
18,7.8,985.4,10.9,10.0
18,8.0,984.9,11.2,9.8
18,8.2,985.2,11.1,10.1
18,7.9,985.2,10.7,9.8
18,7.9,985.1,9.9,9.0
18,7.8,985.6,9.7,9.0
