available_bike_stands,temperature,apparent_temperature,hour,surface_pressure
19,12.3,9.8,12,980.4
19,12.3,9.8,12,980.4
19,12.3,9.8,12,980.4
19,12.3,9.8,12,980.4
19,12.3,9.8,12,980.4
5,12.3,9.8,12,980.4
9,12.7,9.3,14,980.7
12,6.2,4.1,19,983.2
10,7.1,4.6,21,984.4
11,6.8,4.4,22,984.5
10,13.9,11.4,11,985.5
6,14.6,11.8,14,985.0
6,14.2,11.3,15,984.7
12,12.2,10.4,17,984.9
15,10.2,8.8,18,985.6
12,7.0,5.0,20,986.9
11,6.4,4.2,21,987.1
11,6.3,4.1,22,987.0
11,4.7,2.7,23,987.1
10,4.5,2.2,0,987.0
10,3.7,1.3,1,986.5
11,5.2,2.9,2,986.4
11,5.2,3.1,3,986.3
11,4.2,2.0,4,986.3
11,4.8,2.6,5,986.5
13,4.1,1.9,6,986.5
20,5.6,3.4,7,986.8
11,6.7,4.7,8,987.2
16,8.1,5.9,9,987.4
14,10.1,8.1,10,987.4
19,12.2,10.4,11,986.9
14,13.1,11.2,12,986.2
17,13.4,11.6,13,985.6
18,14.9,13.0,14,984.9
9,14.8,12.7,15,984.3
13,14.2,12.3,16,984.4
11,13.3,11.7,17,984.4
9,12.1,10.9,18,984.7
5,10.7,9.3,19,984.9
7,10.7,9.1,20,985.2
11,9.3,7.8,21,985.3
10,8.2,6.5,22,985.2
9,8.4,6.8,23,984.7
8,7.1,5.4,0,984.7
8,6.1,4.2,1,984.4
9,5.9,3.9,2,984.3
9,6.0,4.3,4,984.3
9,4.7,2.9,5,984.5
14,5.8,4.3,6,984.8
9,6.1,4.6,7,984.9
13,9.1,7.8,8,985.2
14,11.2,9.8,9,985.1
14,13.2,11.6,10,984.7
16,15.2,13.8,11,984.5
14,16.2,14.7,12,984.2
20,17.0,15.2,13,984.0
20,17.8,15.2,14,983.6
15,17.7,15.3,15,983.3
14,17.2,15.1,16,983.0
14,15.8,14.5,17,982.9
14,14.2,13.4,18,983.2
14,13.4,12.8,19,983.7
6,12.3,11.1,20,984.4
6,10.2,8.9,21,984.9
4,10.5,9.5,23,984.9
4,10.9,10.0,0,985.4
4,11.2,9.8,1,984.9
3,11.1,10.1,2,985.2
3,10.7,9.8,3,985.2
3,9.9,9.0,4,985.1
3,9.7,9.0,5,985.6
5,9.9,8.8,6,986.0
9,10.1,9.4,7,986.6
9,11.3,10.9,8,987.2
8,11.2,10.6,9,987.6
10,12.0,11.9,10,988.0
10,14.5,13.2,11,987.6
9,15.6,15.0,12,987.3
9,16.3,14.8,13,986.8
8,15.5,13.9,14,986.6
7,15.9,14.5,15,986.4
6,15.6,14.6,16,986.2
8,13.6,12.0,17,987.3
7,11.9,10.7,18,988.1
7,10.1,9.0,19,988.7
5,9.3,7.9,20,989.0
0,9.3,7.9,21,989.7
2,9.1,7.6,22,989.8
5,8.9,7.5,23,990.0
8,8.9,7.2,0,990.5
10,7.6,5.8,1,990.1
10,7.2,5.3,2,990.6
10,7.2,5.3,3,990.5
9,6.4,4.6,4,990.7
9,5.6,3.5,5,991.3
9,5.8,3.8,6,991.9
8,8.1,6.6,7,991.9
9,9.6,8.1,8,992.1
11,11.3,9.4,9,992.2
13,12.6,10.3,10,992.1
12,14.6,12.0,11,990.9
11,15.3,12.5,12,990.1
9,16.0,13.2,13,989.4
13,16.9,14.1,14,988.8
14,16.5,13.5,15,988.3
16,13.4,11.4,17,988.4
11,12.1,10.8,18,988.4
12,10.8,9.2,19,988.8
12,9.5,7.7,21,989.4
12,8.7,7.0,22,989.1
12,9.0,7.4,23,988.9
12,8.5,7.0,0,988.6
12,7.9,6.4,1,988.0
12,8.0,6.4,2,987.7
12,8.0,6.4,3,987.9
13,7.8,6.1,4,987.2
13,7.2,5.5,5,987.0
17,7.2,5.6,6,987.2
5,7.8,5.9,7,987.1
9,8.8,6.4,8,986.4
12,9.5,6.9,9,985.7
12,10.6,8.1,10,985.5
12,11.4,8.8,11,985.4
14,12.3,9.6,12,984.7
17,13.0,10.1,13,983.8
18,13.2,10.5,14,983.0
13,12.6,9.9,15,982.7
15,11.4,8.8,16,982.9
