available_bike_stands,surface_pressure,day_of_week,weekend,temperature
14,980.4,1,0,12.3
14,980.4,1,0,12.3
14,980.4,1,0,12.3
14,980.4,1,0,12.3
15,980.4,1,0,12.3
13,980.4,1,0,12.3
7,980.7,1,0,12.7
9,983.2,1,0,6.2
14,984.4,1,0,7.1
14,984.5,1,0,6.8
17,985.5,2,0,13.9
15,985.0,2,0,14.6
11,984.7,2,0,14.2
5,984.9,2,0,12.2
14,985.6,2,0,10.2
10,986.9,2,0,7.0
15,987.1,2,0,6.4
14,987.0,2,0,6.3
14,987.1,2,0,4.7
14,987.0,3,0,4.5
14,986.5,3,0,3.7
14,986.4,3,0,5.2
14,986.3,3,0,5.2
14,986.3,3,0,4.2
14,986.5,3,0,4.8
12,986.5,3,0,4.1
18,986.8,3,0,5.6
10,987.2,3,0,6.7
12,987.4,3,0,8.1
14,987.4,3,0,10.1
15,986.9,3,0,12.2
17,986.2,3,0,13.1
11,985.6,3,0,13.4
4,984.9,3,0,14.9
13,984.3,3,0,14.8
9,984.4,3,0,14.2
14,984.4,3,0,13.3
13,984.7,3,0,12.1
13,984.9,3,0,10.7
15,985.2,3,0,10.7
16,985.3,3,0,9.3
17,985.2,3,0,8.2
17,984.7,3,0,8.4
17,984.7,4,0,7.1
17,984.4,4,0,6.1
17,984.3,4,0,5.9
17,984.3,4,0,6.0
17,984.5,4,0,4.7
16,984.8,4,0,5.8
12,984.9,4,0,6.1
8,985.2,4,0,9.1
9,985.1,4,0,11.2
9,984.7,4,0,13.2
13,984.5,4,0,15.2
10,984.2,4,0,16.2
5,984.0,4,0,17.0
1,983.6,4,0,17.8
2,983.3,4,0,17.7
5,983.0,4,0,17.2
3,982.9,4,0,15.8
3,983.2,4,0,14.2
2,983.7,4,0,13.4
3,984.4,4,0,12.3
6,984.9,4,0,10.2
5,984.9,4,0,10.5
3,985.4,5,1,10.9
3,984.9,5,1,11.2
3,985.2,5,1,11.1
3,985.2,5,1,10.7
3,985.1,5,1,9.9
3,985.6,5,1,9.7
3,986.0,5,1,9.9
3,986.6,5,1,10.1
3,987.2,5,1,11.3
3,987.6,5,1,11.2
2,988.0,5,1,12.0
2,987.6,5,1,14.5
2,987.3,5,1,15.6
1,986.8,5,1,16.3
0,986.6,5,1,15.5
1,986.4,5,1,15.9
1,986.2,5,1,15.6
0,987.3,5,1,13.6
2,988.1,5,1,11.9
3,988.7,5,1,10.1
0,989.0,5,1,9.3
0,989.7,5,1,9.3
1,989.8,5,1,9.1
2,990.0,5,1,8.9
2,990.5,6,1,8.9
3,990.1,6,1,7.6
3,990.6,6,1,7.2
3,990.5,6,1,7.2
3,990.7,6,1,6.4
3,991.3,6,1,5.6
3,991.9,6,1,5.8
3,991.9,6,1,8.1
3,992.1,6,1,9.6
0,992.2,6,1,11.3
0,992.1,6,1,12.6
1,990.9,6,1,14.6
5,990.1,6,1,15.3
3,989.4,6,1,16.0
2,988.8,6,1,16.9
0,988.3,6,1,16.5
5,988.4,6,1,13.4
6,988.4,6,1,12.1
7,988.8,6,1,10.8
11,989.4,6,1,9.5
11,989.1,6,1,8.7
11,988.9,6,1,9.0
11,988.6,0,0,8.5
11,988.0,0,0,7.9
11,987.7,0,0,8.0
11,987.9,0,0,8.0
11,987.2,0,0,7.8
12,987.0,0,0,7.2
12,987.2,0,0,7.2
18,987.1,0,0,7.8
4,986.4,0,0,8.8
5,985.7,0,0,9.5
7,985.5,0,0,10.6
9,985.4,0,0,11.4
8,984.7,0,0,12.3
8,983.8,0,0,13.0
8,983.0,0,0,13.2
13,982.7,0,0,12.6
12,982.9,0,0,11.4
13,983.6,0,0,10.7
12,984.1,0,0,10.1
13,984.7,0,0,9.8
14,985.0,0,0,9.2
15,985.7,0,0,8.9
15,986.1,0,0,8.7
15,986.4,0,0,8.1
15,987.1,1,0,7.3
15,986.8,1,0,6.8
15,987.3,1,0,6.1
15,988.1,1,0,5.2
15,988.4,1,0,5.0
13,989.1,1,0,4.6
17,989.7,1,0,4.6
18,990.2,1,0,5.2
10,990.5,1,0,5.8
12,990.4,1,0,6.7
12,990.0,1,0,7.7
12,990.1,1,0,8.5
10,989.7,1,0,8.6
8,989.6,1,0,9.0
3,989.7,1,0,9.1
4,990.0,1,0,8.8
5,990.4,1,0,8.7
7,991.0,1,0,7.8
8,991.7,1,0,6.9
8,992.1,1,0,5.8
8,992.7,1,0,5.3
8,992.8,1,0,4.7
8,992.4,1,0,3.2
8,992.6,2,0,3.0
8,992.2,2,0,2.2
8,992.2,2,0,2.0
8,992.3,2,0,2.0
8,992.0,2,0,2.0
8,992.2,2,0,1.1
5,992.3,2,0,1.2
12,992.7,2,0,3.4
13,992.4,2,0,6.1
16,992.3,2,0,9.3
17,991.8,2,0,11.8
17,991.4,2,0,13.3
17,990.8,2,0,14.1
16,989.9,2,0,14.8
13,989.6,2,0,14.6
7,989.5,2,0,14.0
6,989.5,2,0,12.9
17,989.8,2,0,11.0
17,990.1,2,0,9.8
20,990.2,2,0,8.9
20,990.4,2,0,8.5
19,990.4,2,0,7.7
19,990.4,2,0,6.7
19,989.8,3,0,6.8
19,990.2,3,0,5.2
19,990.0,3,0,5.4
19,989.6,3,0,4.8
19,989.4,3,0,2.9
18,989.4,3,0,2.5
12,989.6,3,0,5.2
15,989.5,3,0,9.3
10,989.4,3,0,12.5
10,989.1,3,0,15.1
12,989.3,3,0,16.4
12,988.8,3,0,17.5
12,988.3,3,0,17.9
10,988.0,3,0,16.9
7,987.8,3,0,16.1
5,987.5,3,0,15.6
10,988.1,3,0,14.6
6,988.7,3,0,13.0
4,988.7,3,0,11.8
2,989.0,3,0,11.9
2,989.8,3,0,10.2
2,989.9,3,0,10.1
2,990.3,3,0,11.0
2,990.3,4,0,11.1
2,990.2,4,0,11.4
2,990.2,4,0,10.8
2,990.0,4,0,10.6
2,989.9,4,0,10.1
2,989.6,4,0,10.5
1,989.9,4,0,10.5
5,989.9,4,0,11.8
7,990.6,4,0,13.5
6,990.3,4,0,15.5
7,989.8,4,0,16.7
7,987.2,4,0,18.6
5,986.1,4,0,19.2
10,985.4,4,0,18.7
12,985.1,4,0,18.2
9,984.5,4,0,17.0
1,984.7,4,0,13.4
0,984.7,4,0,11.8
1,984.3,4,0,10.8
1,983.9,4,0,10.2
2,983.4,4,0,9.5
2,983.4,4,0,8.0
2,982.7,5,1,7.8
2,982.1,5,1,7.7
2,981.4,5,1,6.9
2,980.3,5,1,6.1
2,979.9,5,1,6.8
0,979.9,5,1,6.3
3,979.6,5,1,8.4
2,978.5,5,1,10.8
1,977.7,5,1,14.2
0,976.6,5,1,17.1
1,975.7,5,1,17.5
1,975.0,5,1,19.1
6,974.3,5,1,19.7
5,973.5,5,1,19.1
11,973.2,5,1,17.9
1,973.9,5,1,16.4
0,977.0,5,1,8.8
0,977.5,5,1,7.0
0,979.9,5,1,6.8
0,980.2,5,1,6.2
0,979.4,5,1,6.0
0,979.7,5,1,5.9
0,979.5,6,1,4.6
0,979.9,6,1,3.5
0,979.3,6,1,3.7
0,978.9,6,1,3.8
