available_bike_stands,surface_pressure,relative_humidity,dew_point,apparent_temperature
9,980.4,58.0,4.2,9.8
9,980.4,58.0,4.2,9.8
9,980.4,58.0,4.2,9.8
9,980.4,58.0,4.2,9.8
9,980.4,58.0,4.2,9.8
8,980.4,58.0,4.2,9.8
14,980.7,52.0,3.1,9.3
6,983.2,84.0,3.7,4.1
6,984.4,73.0,2.6,4.6
6,984.5,75.0,2.7,4.4
14,985.5,42.0,1.2,11.4
12,985.0,38.0,0.4,11.8
10,984.7,41.0,1.1,11.3
14,984.9,60.0,4.7,10.4
14,985.6,71.0,5.2,8.8
13,986.9,73.0,2.5,5.0
13,987.1,75.0,2.3,4.2
14,987.0,73.0,1.8,4.1
14,987.1,87.0,2.7,2.7
13,987.0,84.0,2.0,2.2
13,986.5,86.0,1.6,1.3
13,986.4,76.0,1.3,2.9
13,986.3,77.0,1.5,3.1
13,986.3,84.0,1.7,2.0
14,986.5,83.0,2.1,2.6
16,986.5,89.0,2.4,1.9
12,986.8,83.0,3.0,3.4
12,987.2,77.0,3.0,4.7
14,987.4,70.0,2.9,5.9
15,987.4,64.0,3.6,8.1
18,986.9,59.0,4.4,10.4
17,986.2,60.0,5.5,11.2
14,985.6,60.0,5.8,11.6
15,984.9,56.0,6.2,13.0
9,984.3,56.0,6.1,12.7
9,984.4,58.0,6.1,12.3
8,984.4,62.0,6.1,11.7
9,984.7,67.0,6.2,10.9
12,984.9,71.0,5.6,9.3
12,985.2,69.0,5.3,9.1
11,985.3,78.0,5.7,7.8
13,985.2,82.0,5.3,6.5
14,984.7,83.0,5.6,6.8
14,984.7,86.0,4.9,5.4
14,984.4,88.0,4.2,4.2
