available_bike_stands,surface_pressure,day_of_week,dew_point,relative_humidity
13,980.4,1,4.2,58.0
13,980.4,1,4.2,58.0
13,980.4,1,4.2,58.0
13,980.4,1,4.2,58.0
13,980.4,1,4.2,58.0
10,980.4,1,4.2,58.0
6,980.7,1,3.1,52.0
3,983.2,1,3.7,84.0
2,984.4,1,2.6,73.0
2,984.5,1,2.7,75.0
9,985.5,2,1.2,42.0
3,985.0,2,0.4,38.0
0,984.7,2,1.1,41.0
12,984.9,2,4.7,60.0
10,985.6,2,5.2,71.0
7,986.9,2,2.5,73.0
6,987.1,2,2.3,75.0
7,987.0,2,1.8,73.0
7,987.1,2,2.7,87.0
7,987.0,3,2.0,84.0
7,986.5,3,1.6,86.0
7,986.4,3,1.3,76.0
7,986.3,3,1.5,77.0
7,986.3,3,1.7,84.0
8,986.5,3,2.1,83.0
9,986.5,3,2.4,89.0
10,986.8,3,3.0,83.0
12,987.2,3,3.0,77.0
14,987.4,3,2.9,70.0
14,987.4,3,3.6,64.0
12,986.9,3,4.4,59.0
9,986.2,3,5.5,60.0
11,985.6,3,5.8,60.0
9,984.9,3,6.2,56.0
7,984.3,3,6.1,56.0
8,984.4,3,6.1,58.0
6,984.4,3,6.1,62.0
8,984.7,3,6.2,67.0
7,984.9,3,5.6,71.0
7,985.2,3,5.3,69.0
7,985.3,3,5.7,78.0
5,985.2,3,5.3,82.0
5,984.7,3,5.6,83.0
5,984.7,4,4.9,86.0
5,984.4,4,4.2,88.0
5,984.3,4,3.9,87.0
5,984.3,4,4.0,87.0
6,984.5,4,3.5,92.0
6,984.8,4,4.5,91.0
6,984.9,4,4.8,91.0
7,985.2,4,5.8,80.0
9,985.1,4,6.6,73.0
9,984.7,4,7.0,66.0
8,984.5,4,7.5,60.0
8,984.2,4,7.6,57.0
7,984.0,4,7.9,55.0
5,983.6,4,6.3,47.0
3,983.3,4,7.2,50.0
1,983.0,4,7.3,52.0
0,982.9,4,8.5,62.0
12,983.2,4,8.6,69.0
13,983.7,4,8.4,72.0
13,984.4,4,7.2,71.0
15,984.9,4,7.5,83.0
16,984.9,4,7.9,84.0
15,985.4,5,7.8,81.0
15,984.9,5,8.0,81.0
13,985.2,5,8.2,82.0
13,985.2,5,7.9,83.0
13,985.1,5,7.9,87.0
13,985.6,5,7.8,88.0
14,986.0,5,7.3,84.0
14,986.6,5,7.4,83.0
14,987.2,5,9.2,87.0
14,987.6,5,9.5,89.0
14,988.0,5,9.9,87.0
14,987.6,5,8.6,68.0
14,987.3,5,9.5,67.0
14,986.8,5,6.7,53.0
16,986.6,5,7.8,60.0
16,986.4,5,7.1,56.0
16,986.2,5,8.1,61.0
17,987.3,5,8.2,70.0
17,988.1,5,8.3,79.0
17,988.7,5,8.0,87.0
17,989.0,5,6.2,81.0
16,989.7,5,6.4,82.0
14,989.8,5,6.4,83.0
14,990.0,5,6.7,86.0
13,990.5,6,5.1,77.0
11,990.1,6,5.2,85.0
11,990.6,6,4.5,83.0
11,990.5,6,4.3,82.0
11,990.7,6,4.2,86.0
11,991.3,6,4.1,90.0
11,991.9,6,4.1,89.0
10,991.9,6,5.4,83.0
10,992.1,6,5.9,78.0
10,992.2,6,8.1,81.0
11,992.1,6,7.4,71.0
12,990.9,6,5.6,55.0
13,990.1,6,5.8,53.0
12,989.4,6,5.9,51.0
11,988.8,6,5.5,47.0
14,988.3,6,6.3,51.0
12,988.4,6,6.7,64.0
17,988.4,6,6.8,70.0
14,988.8,6,6.0,72.0
15,989.4,6,4.9,73.0
15,989.1,6,4.9,77.0
15,988.9,6,5.1,77.0
15,988.6,0,5.0,79.0
15,988.0,0,5.0,82.0
15,987.7,0,5.1,82.0
15,987.9,0,4.5,79.0
15,987.2,0,4.2,78.0
15,987.0,0,4.2,81.0
15,987.2,0,4.3,82.0
16,987.1,0,3.8,76.0
18,986.4,0,3.8,71.0
18,985.7,0,3.3,65.0
18,985.5,0,3.6,62.0
18,985.4,0,3.4,58.0
18,984.7,0,3.5,55.0
18,983.8,0,3.6,53.0
17,983.0,0,3.8,53.0
17,982.7,0,4.0,56.0
17,982.9,0,3.9,60.0
16,983.6,0,4.1,64.0
14,984.1,0,4.3,67.0
14,984.7,0,4.8,71.0
15,985.0,0,5.6,78.0
15,985.7,0,4.7,75.0
13,986.1,0,3.3,69.0
13,986.4,0,2.5,68.0
13,987.1,1,0.1,60.0
13,986.8,1,-0.9,58.0
13,987.3,1,-1.3,59.0
13,988.1,1,-1.7,61.0
13,988.4,1,-2.2,60.0
13,989.1,1,-2.3,61.0
13,989.7,1,-2.3,61.0
13,990.2,1,-2.6,57.0
13,990.5,1,-3.1,53.0
15,990.4,1,-3.5,48.0
15,990.0,1,-3.2,46.0
16,990.1,1,-2.5,46.0
17,989.7,1,-2.1,47.0
17,989.6,1,-1.8,47.0
14,989.7,1,-1.0,49.0
12,990.0,1,-1.0,50.0
14,990.4,1,-0.6,52.0
10,991.0,1,0.7,61.0
13,991.7,1,0.7,65.0
14,992.1,1,0.6,69.0
11,992.7,1,0.3,70.0
10,992.8,1,0.1,72.0
10,992.4,1,0.1,80.0
10,992.6,2,-0.1,80.0
10,992.2,2,0.1,86.0
9,992.2,2,-0.1,86.0
8,992.3,2,-0.1,86.0
8,992.0,2,-0.1,86.0
8,992.2,2,-1.1,85.0
8,992.3,2,-1.4,83.0
9,992.7,2,0.6,82.0
10,992.4,2,1.4,72.0
12,992.3,2,2.4,62.0
12,991.8,2,4.3,60.0
11,991.4,2,4.7,56.0
11,990.8,2,4.6,53.0
6,989.9,2,4.4,50.0
7,989.6,2,4.6,51.0
7,989.5,2,5.1,55.0
7,989.5,2,4.0,55.0
9,989.8,2,4.2,63.0
10,990.1,2,4.4,69.0
