available_bike_stands,surface_pressure,day_of_week,dew_point,apparent_temperature
12,980.4,1,4.2,9.8
12,980.4,1,4.2,9.8
12,980.4,1,4.2,9.8
12,980.4,1,4.2,9.8
12,980.4,1,4.2,9.8
12,980.4,1,4.2,9.8
12,980.7,1,3.1,9.3
11,983.2,1,3.7,4.1
10,984.4,1,2.6,4.6
10,984.5,1,2.7,4.4
15,985.5,2,1.2,11.4
14,985.0,2,0.4,11.8
9,984.7,2,1.1,11.3
8,984.9,2,4.7,10.4
9,985.6,2,5.2,8.8
10,986.9,2,2.5,5.0
9,987.1,2,2.3,4.2
9,987.0,2,1.8,4.1
9,987.1,2,2.7,2.7
9,987.0,3,2.0,2.2
9,986.5,3,1.6,1.3
9,986.4,3,1.3,2.9
9,986.3,3,1.5,3.1
9,986.3,3,1.7,2.0
9,986.5,3,2.1,2.6
12,986.5,3,2.4,1.9
13,986.8,3,3.0,3.4
14,987.2,3,3.0,4.7
13,987.4,3,2.9,5.9
13,987.4,3,3.6,8.1
11,986.9,3,4.4,10.4
11,986.2,3,5.5,11.2
11,985.6,3,5.8,11.6
9,984.9,3,6.2,13.0
6,984.3,3,6.1,12.7
13,984.4,3,6.1,12.3
14,984.4,3,6.1,11.7
14,984.7,3,6.2,10.9
13,984.9,3,5.6,9.3
13,985.2,3,5.3,9.1
13,985.3,3,5.7,7.8
12,985.2,3,5.3,6.5
12,984.7,3,5.6,6.8
11,984.7,4,4.9,5.4
11,984.4,4,4.2,4.2
11,984.3,4,3.9,3.9
11,984.3,4,4.0,4.3
12,984.5,4,3.5,2.9
14,984.8,4,4.5,4.3
14,984.9,4,4.8,4.6
16,985.2,4,5.8,7.8
16,985.1,4,6.6,9.8
15,984.7,4,7.0,11.6
15,984.5,4,7.5,13.8
15,984.2,4,7.6,14.7
12,984.0,4,7.9,15.2
12,983.6,4,6.3,15.2
11,983.3,4,7.2,15.3
13,983.0,4,7.3,15.1
13,982.9,4,8.5,14.5
15,983.2,4,8.6,13.4
16,983.7,4,8.4,12.8
16,984.4,4,7.2,11.1
15,984.9,4,7.5,8.9
11,984.9,4,7.9,9.5
10,985.4,5,7.8,10.0
10,984.9,5,8.0,9.8
9,985.2,5,8.2,10.1
9,985.2,5,7.9,9.8
9,985.1,5,7.9,9.0
10,985.6,5,7.8,9.0
11,986.0,5,7.3,8.8
11,986.6,5,7.4,9.4
11,987.2,5,9.2,10.9
12,987.6,5,9.5,10.6
12,988.0,5,9.9,11.9
11,987.6,5,8.6,13.2
11,987.3,5,9.5,15.0
12,986.8,5,6.7,14.8
12,986.6,5,7.8,13.9
14,986.4,5,7.1,14.5
13,986.2,5,8.1,14.6
13,987.3,5,8.2,12.0
12,988.1,5,8.3,10.7
11,988.7,5,8.0,9.0
12,989.0,5,6.2,7.9
11,989.7,5,6.4,7.9
11,989.8,5,6.4,7.6
12,990.0,5,6.7,7.5
12,990.5,6,5.1,7.2
12,990.1,6,5.2,5.8
12,990.6,6,4.5,5.3
12,990.5,6,4.3,5.3
12,990.7,6,4.2,4.6
12,991.3,6,4.1,3.5
12,991.9,6,4.1,3.8
12,991.9,6,5.4,6.6
12,992.1,6,5.9,8.1
11,992.2,6,8.1,9.4
9,992.1,6,7.4,10.3
10,990.9,6,5.6,12.0
10,990.1,6,5.8,12.5
10,989.4,6,5.9,13.2
13,988.8,6,5.5,14.1
15,988.3,6,6.3,13.5
10,988.4,6,6.7,11.4
12,988.4,6,6.8,10.8
12,988.8,6,6.0,9.2
12,989.4,6,4.9,7.7
12,989.1,6,4.9,7.0
