available_bike_stands,day_of_week,surface_pressure,weekend,dew_point
10,1,980.4,0,4.2
10,1,980.4,0,4.2
10,1,980.4,0,4.2
10,1,980.4,0,4.2
10,1,980.4,0,4.2
8,1,980.4,0,4.2
8,1,980.7,0,3.1
6,1,983.2,0,3.7
8,1,984.4,0,2.6
7,1,984.5,0,2.7
14,2,985.5,0,1.2
10,2,985.0,0,0.4
9,2,984.7,0,1.1
12,2,984.9,0,4.7
10,2,985.6,0,5.2
12,2,986.9,0,2.5
10,2,987.1,0,2.3
11,2,987.0,0,1.8
11,2,987.1,0,2.7
9,3,987.0,0,2.0
9,3,986.5,0,1.6
8,3,986.4,0,1.3
8,3,986.3,0,1.5
8,3,986.3,0,1.7
7,3,986.5,0,2.1
9,3,986.5,0,2.4
11,3,986.8,0,3.0
10,3,987.2,0,3.0
11,3,987.4,0,2.9
15,3,987.4,0,3.6
13,3,986.9,0,4.4
12,3,986.2,0,5.5
11,3,985.6,0,5.8
8,3,984.9,0,6.2
4,3,984.3,0,6.1
1,3,984.4,0,6.1
0,3,984.4,0,6.1
11,3,984.7,0,6.2
11,3,984.9,0,5.6
9,3,985.2,0,5.3
8,3,985.3,0,5.7
3,3,985.2,0,5.3
2,3,984.7,0,5.6
2,4,984.7,0,4.9
2,4,984.4,0,4.2
1,4,984.3,0,3.9
1,4,984.3,0,4.0
0,4,984.5,0,3.5
1,4,984.8,0,4.5
3,4,984.9,0,4.8
6,4,985.2,0,5.8
5,4,985.1,0,6.6
4,4,984.7,0,7.0
3,4,984.5,0,7.5
3,4,984.2,0,7.6
3,4,984.0,0,7.9
1,4,983.6,0,6.3
0,4,983.3,0,7.2
13,4,983.0,0,7.3
11,4,982.9,0,8.5
10,4,983.2,0,8.6
5,4,983.7,0,8.4
3,4,984.4,0,7.2
3,4,984.9,0,7.5
0,4,984.9,0,7.9
0,5,985.4,1,7.8
0,5,984.9,1,8.0
0,5,985.2,1,8.2
0,5,985.2,1,7.9
0,5,985.1,1,7.9
0,5,985.6,1,7.8
1,5,986.0,1,7.3
1,5,986.6,1,7.4
1,5,987.2,1,9.2
1,5,987.6,1,9.5
1,5,988.0,1,9.9
1,5,987.6,1,8.6
1,5,987.3,1,9.5
2,5,986.8,1,6.7
2,5,986.6,1,7.8
1,5,986.4,1,7.1
1,5,986.2,1,8.1
2,5,987.3,1,8.2
0,5,988.1,1,8.3
1,5,988.7,1,8.0
1,5,989.0,1,6.2
1,5,989.7,1,6.4
1,5,989.8,1,6.4
1,5,990.0,1,6.7
0,6,990.5,1,5.1
0,6,990.1,1,5.2
0,6,990.6,1,4.5
0,6,990.5,1,4.3
0,6,990.7,1,4.2
0,6,991.3,1,4.1
1,6,991.9,1,4.1
1,6,991.9,1,5.4
2,6,992.1,1,5.9
3,6,992.2,1,8.1
2,6,992.1,1,7.4
1,6,990.9,1,5.6
2,6,990.1,1,5.8
1,6,989.4,1,5.9
2,6,988.8,1,5.5
4,6,988.3,1,6.3
5,6,988.4,1,6.7
7,6,988.4,1,6.8
6,6,988.8,1,6.0
3,6,989.4,1,4.9
3,6,989.1,1,4.9
3,6,988.9,1,5.1
3,0,988.6,0,5.0
3,0,988.0,0,5.0
3,0,987.7,0,5.1
3,0,987.9,0,4.5
3,0,987.2,0,4.2
3,0,987.0,0,4.2
2,0,987.2,0,4.3
2,0,987.1,0,3.8
5,0,986.4,0,3.8
5,0,985.7,0,3.3
7,0,985.5,0,3.6
7,0,985.4,0,3.4
4,0,984.7,0,3.5
9,0,983.8,0,3.6
6,0,983.0,0,3.8
2,0,982.7,0,4.0
9,0,982.9,0,3.9
8,0,983.6,0,4.1
7,0,984.1,0,4.3
7,0,984.7,0,4.8
5,0,985.0,0,5.6
4,0,985.7,0,4.7
4,0,986.1,0,3.3
4,0,986.4,0,2.5
4,1,987.1,0,0.1
4,1,986.8,0,-0.9
4,1,987.3,0,-1.3
4,1,988.1,0,-1.7
3,1,988.4,0,-2.2
5,1,989.1,0,-2.3
5,1,989.7,0,-2.3
8,1,990.2,0,-2.6
8,1,990.5,0,-3.1
9,1,990.4,0,-3.5
8,1,990.0,0,-3.2
8,1,990.1,0,-2.5
6,1,989.7,0,-2.1
0,1,989.6,0,-1.8
0,1,989.7,0,-1.0
9,1,990.0,0,-1.0
8,1,990.4,0,-0.6
8,1,991.0,0,0.7
7,1,991.7,0,0.7
9,1,992.1,0,0.6
11,1,992.7,0,0.3
11,1,992.8,0,0.1
11,1,992.4,0,0.1
11,2,992.6,0,-0.1
11,2,992.2,0,0.1
11,2,992.2,0,-0.1
11,2,992.3,0,-0.1
11,2,992.0,0,-0.1
10,2,992.2,0,-1.1
11,2,992.3,0,-1.4
12,2,992.7,0,0.6
11,2,992.4,0,1.4
12,2,992.3,0,2.4
10,2,991.8,0,4.3
11,2,991.4,0,4.7
10,2,990.8,0,4.6
2,2,989.9,0,4.4
0,2,989.6,0,4.6
13,2,989.5,0,5.1
13,2,989.5,0,4.0
13,2,989.8,0,4.2
13,2,990.1,0,4.4
10,2,990.2,0,3.7
10,2,990.4,0,3.5
9,2,990.4,0,3.6
8,2,990.4,0,3.9
6,3,989.8,0,3.7
6,3,990.2,0,3.1
6,3,990.0,0,2.8
6,3,989.6,0,2.5
6,3,989.4,0,2.9
5,3,989.4,0,2.5
7,3,989.6,0,2.8
10,3,989.5,0,4.1
12,3,989.4,0,5.0
15,3,989.1,0,5.0
15,3,989.3,0,5.1
12,3,988.8,0,5.8
14,3,988.3,0,6.7
13,3,988.0,0,6.1
5,3,987.8,0,7.1
11,3,987.5,0,7.9
11,3,988.1,0,8.3
13,3,988.7,0,8.8
15,3,988.7,0,7.7
15,3,989.0,0,6.4
13,3,989.8,0,6.2
12,3,989.9,0,5.4
13,3,990.3,0,6.1
13,4,990.3,0,5.2
12,4,990.2,0,5.7
12,4,990.2,0,5.4
12,4,990.0,0,5.3
12,4,989.9,0,4.8
10,4,989.6,0,5.0
10,4,989.9,0,5.1
12,4,989.9,0,5.6
13,4,990.6,0,5.9
14,4,990.3,0,4.2
14,4,989.8,0,4.1
8,4,987.2,0,3.6
3,4,986.1,0,1.2
0,4,985.4,0,1.7
13,4,985.1,0,0.8
11,4,984.5,0,4.9
7,4,984.7,0,6.2
11,4,984.7,0,4.5
10,4,984.3,0,4.0
6,4,983.9,0,3.3
6,4,983.4,0,3.0
4,4,983.4,0,3.0
3,5,982.7,1,2.8
3,5,982.1,1,3.7
3,5,981.4,1,4.3
3,5,980.3,1,4.9
3,5,979.9,1,5.1
2,5,979.9,1,5.0
4,5,979.6,1,5.5
5,5,978.5,1,5.6
2,5,977.7,1,5.5
3,5,976.6,1,6.0
3,5,975.7,1,6.1
0,5,975.0,1,5.5
1,5,974.3,1,3.4
1,5,973.5,1,4.4
3,5,973.2,1,4.1
0,5,973.9,1,4.8
0,5,977.0,1,2.8
0,5,977.5,1,3.3
0,5,979.9,1,2.5
0,5,980.2,1,2.6
0,5,979.4,1,2.4
1,5,979.7,1,2.7
1,6,979.5,1,2.8
0,6,979.9,1,2.0
0,6,979.3,1,2.1
0,6,978.9,1,2.2
0,6,979.0,1,2.7
0,6,978.4,1,0.6
0,6,979.0,1,1.1
0,6,978.8,1,1.6
1,6,979.1,1,1.8
2,6,978.6,1,2.0
3,6,977.7,1,1.4
1,6,977.1,1,0.2
4,6,976.2,1,-2.2
4,6,975.3,1,-1.4
6,6,974.8,1,-0.9
5,6,974.9,1,-0.5
5,6,975.5,1,4.1
5,6,976.8,1,2.0
4,6,976.9,1,2.2
4,6,977.2,1,2.3
3,6,977.1,1,1.5
3,6,976.7,1,1.3
3,6,977.0,1,1.1
3,0,977.1,0,0.2
3,0,977.1,0,-0.2
2,0,976.9,0,-0.8
2,0,977.3,0,-1.3
2,0,977.2,0,-2.2
3,0,978.3,0,-1.7
0,0,978.4,0,-1.5
1,0,978.3,0,-0.0
0,0,978.2,0,-1.6
8,0,978.2,0,-3.4
9,0,977.8,0,-3.8
7,0,976.7,0,-4.9
5,0,976.1,0,-4.3
9,0,975.7,0,-3.5
10,0,975.4,0,-3.0
8,0,975.4,0,-1.3
6,0,975.6,0,0.0
4,0,975.9,0,0.3
4,0,976.0,0,-1.0
6,0,975.9,0,-2.3
6,0,975.8,0,-1.3
5,0,976.2,0,-0.7
4,1,976.2,0,0.2
4,1,975.9,0,-2.1
3,1,975.1,0,-2.2
3,1,974.5,0,-2.6
3,1,974.1,0,-2.3
3,1,973.8,0,-2.2
7,1,973.9,0,-2.2
10,1,973.8,0,-1.9
8,1,973.1,0,-3.0
8,1,972.8,0,-1.5
9,1,972.0,0,-1.4
6,1,971.5,0,-0.1
4,1,970.9,0,0.4
2,1,970.4,0,-0.1
0,1,970.3,0,-0.6
7,1,970.4,0,0.5
8,1,970.5,0,-1.6
5,1,970.4,0,-0.4
5,1,970.0,0,-0.2
8,1,969.3,0,2.4
9,1,969.1,0,2.6
9,1,969.2,0,2.0
8,2,968.6,0,2.1
8,2,968.5,0,2.3
8,2,967.9,0,2.5
8,2,967.6,0,2.1
8,2,967.0,0,1.8
7,2,967.0,0,2.5
8,2,966.7,0,1.7
11,2,966.5,0,2.1
15,2,966.9,0,4.2
16,2,966.5,0,4.4
15,2,965.4,0,7.0
15,2,964.3,0,7.2
14,2,963.4,0,7.5
16,2,962.8,0,8.4
18,2,962.2,0,9.9
15,2,961.6,0,11.1
14,2,961.3,0,11.8
13,2,961.1,0,12.2
14,2,960.6,0,10.3
14,2,960.8,0,8.8
15,2,961.0,0,6.8
15,2,962.0,0,5.8
15,3,961.4,0,2.1
15,3,960.8,0,1.4
15,3,962.2,0,0.1
15,3,963.4,0,0.3
15,3,963.9,0,1.2
15,3,965.4,0,2.0
17,3,966.4,0,1.7
19,3,966.9,0,1.7
19,3,967.8,0,2.2
19,3,968.5,0,2.0
19,3,969.9,0,3.1
9,3,969.8,0,4.0
2,3,970.0,0,5.2
7,3,970.2,0,6.2
5,3,969.4,0,6.0
6,3,969.1,0,7.2
11,3,969.3,0,7.8
12,3,969.5,0,8.4
13,3,971.8,0,8.2
11,3,975.0,0,7.1
12,3,977.1,0,3.1
12,3,977.1,0,3.8
