available_bike_stands,temperature,relative_humidity,surface_pressure,apparent_temperature
9,12.3,58.0,980.4,9.8
9,12.3,58.0,980.4,9.8
9,12.3,58.0,980.4,9.8
9,12.3,58.0,980.4,9.8
9,12.3,58.0,980.4,9.8
5,12.3,58.0,980.4,9.8
5,12.7,52.0,980.7,9.3
3,6.2,84.0,983.2,4.1
0,7.1,73.0,984.4,4.6
0,6.8,75.0,984.5,4.4
10,13.9,42.0,985.5,11.4
13,14.6,38.0,985.0,11.8
12,14.2,41.0,984.7,11.3
14,12.2,60.0,984.9,10.4
14,10.2,71.0,985.6,8.8
15,7.0,73.0,986.9,5.0
14,6.4,75.0,987.1,4.2
14,6.3,73.0,987.0,4.1
14,4.7,87.0,987.1,2.7
14,4.5,84.0,987.0,2.2
14,3.7,86.0,986.5,1.3
14,5.2,76.0,986.4,2.9
14,5.2,77.0,986.3,3.1
14,4.2,84.0,986.3,2.0
14,4.8,83.0,986.5,2.6
13,4.1,89.0,986.5,1.9
13,5.6,83.0,986.8,3.4
13,6.7,77.0,987.2,4.7
12,8.1,70.0,987.4,5.9
9,10.1,64.0,987.4,8.1
8,12.2,59.0,986.9,10.4
4,13.1,60.0,986.2,11.2
5,13.4,60.0,985.6,11.6
6,14.9,56.0,984.9,13.0
9,14.8,56.0,984.3,12.7
12,14.2,58.0,984.4,12.3
13,13.3,62.0,984.4,11.7
14,12.1,67.0,984.7,10.9
13,10.7,71.0,984.9,9.3
11,10.7,69.0,985.2,9.1
16,9.3,78.0,985.3,7.8
16,8.2,82.0,985.2,6.5
16,8.4,83.0,984.7,6.8
16,7.1,86.0,984.7,5.4
16,6.1,88.0,984.4,4.2
16,5.9,87.0,984.3,3.9
20,6.0,87.0,984.3,4.3
20,4.7,92.0,984.5,2.9
18,5.8,91.0,984.8,4.3
18,6.1,91.0,984.9,4.6
17,9.1,80.0,985.2,7.8
16,11.2,73.0,985.1,9.8
19,13.2,66.0,984.7,11.6
