available_bike_stands,temperature,dew_point,apparent_temperature,hour
7,12.3,4.2,9.8,12
7,12.3,4.2,9.8,12
7,12.3,4.2,9.8,12
7,12.3,4.2,9.8,12
7,12.3,4.2,9.8,12
11,12.3,4.2,9.8,12
20,12.7,3.1,9.3,14
19,6.2,3.7,4.1,19
18,7.1,2.6,4.6,21
18,6.8,2.7,4.4,22
2,13.9,1.2,11.4,11
20,14.6,0.4,11.8,14
16,14.2,1.1,11.3,15
14,12.2,4.7,10.4,17
14,10.2,5.2,8.8,18
15,7.0,2.5,5.0,20
16,6.4,2.3,4.2,21
15,6.3,1.8,4.1,22
15,4.7,2.7,2.7,23
13,4.5,2.0,2.2,0
13,3.7,1.6,1.3,1
13,5.2,1.3,2.9,2
13,5.2,1.5,3.1,3
13,4.2,1.7,2.0,4
13,4.8,2.1,2.6,5
12,4.1,2.4,1.9,6
17,5.6,3.0,3.4,7
19,6.7,3.0,4.7,8
19,8.1,2.9,5.9,9
17,10.1,3.6,8.1,10
19,12.2,4.4,10.4,11
20,13.1,5.5,11.2,12
20,13.4,5.8,11.6,13
17,14.9,6.2,13.0,14
20,14.8,6.1,12.7,15
11,14.2,6.1,12.3,16
14,13.3,6.1,11.7,17
20,12.1,6.2,10.9,18
20,10.7,5.6,9.3,19
20,10.7,5.3,9.1,20
19,9.3,5.7,7.8,21
19,8.2,5.3,6.5,22
18,8.4,5.6,6.8,23
18,7.1,4.9,5.4,0
18,6.1,4.2,4.2,1
18,5.9,3.9,3.9,2
19,6.0,4.0,4.3,4
19,4.7,3.5,2.9,5
15,5.8,4.5,4.3,6
17,6.1,4.8,4.6,7
11,9.1,5.8,7.8,8
8,11.2,6.6,9.8,9
11,13.2,7.0,11.6,10
9,15.2,7.5,13.8,11
10,16.2,7.6,14.7,12
20,17.0,7.9,15.2,13
20,17.8,6.3,15.2,14
15,17.7,7.2,15.3,15
16,17.2,7.3,15.1,16
15,15.8,8.5,14.5,17
13,14.2,8.6,13.4,18
14,13.4,8.4,12.8,19
13,12.3,7.2,11.1,20
14,10.2,7.5,8.9,21
15,10.5,7.9,9.5,23
15,10.9,7.8,10.0,0
15,11.2,8.0,9.8,1
15,11.1,8.2,10.1,2
16,10.7,7.9,9.8,3
16,9.9,7.9,9.0,4
16,9.7,7.8,9.0,5
16,9.9,7.3,8.8,6
15,10.1,7.4,9.4,7
14,11.3,9.2,10.9,8
14,11.2,9.5,10.6,9
16,12.0,9.9,11.9,10
16,14.5,8.6,13.2,11
16,15.6,9.5,15.0,12
18,16.3,6.7,14.8,13
19,15.5,7.8,13.9,14
19,15.9,7.1,14.5,15
20,15.6,8.1,14.6,16
20,13.6,8.2,12.0,17
16,11.9,8.3,10.7,18
17,10.1,8.0,9.0,19
17,9.3,6.2,7.9,20
16,9.3,6.4,7.9,21
15,9.1,6.4,7.6,22
13,8.9,6.7,7.5,23
14,8.9,5.1,7.2,0
15,7.6,5.2,5.8,1
15,7.2,4.5,5.3,2
16,7.2,4.3,5.3,3
16,6.4,4.2,4.6,4
17,5.6,4.1,3.5,5
17,5.8,4.1,3.8,6
17,8.1,5.4,6.6,7
18,9.6,5.9,8.1,8
17,11.3,8.1,9.4,9
20,12.6,7.4,10.3,10
20,14.6,5.6,12.0,11
19,15.3,5.8,12.5,12
19,16.0,5.9,13.2,13
17,16.9,5.5,14.1,14
19,16.5,6.3,13.5,15
12,13.4,6.7,11.4,17
16,12.1,6.8,10.8,18
14,10.8,6.0,9.2,19
18,9.5,4.9,7.7,21
19,8.7,4.9,7.0,22
18,9.0,5.1,7.4,23
18,8.5,5.0,7.0,0
18,7.9,5.0,6.4,1
18,8.0,5.1,6.4,2
18,8.0,4.5,6.4,3
18,7.8,4.2,6.1,4
18,7.2,4.2,5.5,5
17,7.2,4.3,5.6,6
6,7.8,3.8,5.9,7
6,8.8,3.8,6.4,8
5,9.5,3.3,6.9,9
14,10.6,3.6,8.1,10
14,11.4,3.4,8.8,11
14,12.3,3.5,9.6,12
19,13.0,3.6,10.1,13
16,13.2,3.8,10.5,14
10,12.6,4.0,9.9,15
20,11.4,3.9,8.8,16
20,10.7,4.1,8.6,17
19,10.1,4.3,8.4,18
20,9.8,4.8,8.4,19
