available_bike_stands,surface_pressure,day_of_week,apparent_temperature,temperature
4,980.4,1,9.8,12.3
4,980.4,1,9.8,12.3
4,980.4,1,9.8,12.3
4,980.4,1,9.8,12.3
4,980.4,1,9.8,12.3
9,980.4,1,9.8,12.3
18,980.7,1,9.3,12.7
17,983.2,1,4.1,6.2
10,984.4,1,4.6,7.1
10,984.5,1,4.4,6.8
0,985.5,2,11.4,13.9
20,985.0,2,11.8,14.6
16,984.7,2,11.3,14.2
10,984.9,2,10.4,12.2
18,985.6,2,8.8,10.2
20,986.9,2,5.0,7.0
14,987.1,2,4.2,6.4
18,987.0,2,4.1,6.3
19,987.1,2,2.7,4.7
17,987.0,3,2.2,4.5
19,986.5,3,1.3,3.7
19,986.4,3,2.9,5.2
19,986.3,3,3.1,5.2
19,986.3,3,2.0,4.2
20,986.5,3,2.6,4.8
15,986.5,3,1.9,4.1
9,986.8,3,3.4,5.6
3,987.2,3,4.7,6.7
1,987.4,3,5.9,8.1
4,987.4,3,8.1,10.1
7,986.9,3,10.4,12.2
3,986.2,3,11.2,13.1
3,985.6,3,11.6,13.4
15,984.9,3,13.0,14.9
20,984.3,3,12.7,14.8
8,984.4,3,12.3,14.2
2,984.4,3,11.7,13.3
9,984.7,3,10.9,12.1
4,984.9,3,9.3,10.7
6,985.2,3,9.1,10.7
1,985.3,3,7.8,9.3
3,985.2,3,6.5,8.2
4,984.7,3,6.8,8.4
6,984.7,4,5.4,7.1
6,984.4,4,4.2,6.1
7,984.3,4,3.9,5.9
6,984.3,4,4.3,6.0
6,984.5,4,2.9,4.7
5,984.8,4,4.3,5.8
0,984.9,4,4.6,6.1
12,985.2,4,7.8,9.1
11,985.1,4,9.8,11.2
10,984.7,4,11.6,13.2
8,984.5,4,13.8,15.2
20,984.2,4,14.7,16.2
16,984.0,4,15.2,17.0
20,983.6,4,15.2,17.8
15,983.3,4,15.3,17.7
19,983.0,4,15.1,17.2
14,982.9,4,14.5,15.8
12,983.2,4,13.4,14.2
8,983.7,4,12.8,13.4
7,984.4,4,11.1,12.3
8,984.9,4,8.9,10.2
9,984.9,4,9.5,10.5
11,985.4,5,10.0,10.9
13,984.9,5,9.8,11.2
13,985.2,5,10.1,11.1
15,985.2,5,9.8,10.7
17,985.1,5,9.0,9.9
17,985.6,5,9.0,9.7
17,986.0,5,8.8,9.9
18,986.6,5,9.4,10.1
16,987.2,5,10.9,11.3
17,987.6,5,10.6,11.2
16,988.0,5,11.9,12.0
17,987.6,5,13.2,14.5
17,987.3,5,15.0,15.6
18,986.8,5,14.8,16.3
14,986.6,5,13.9,15.5
13,986.4,5,14.5,15.9
13,986.2,5,14.6,15.6
10,987.3,5,12.0,13.6
17,988.1,5,10.7,11.9
20,988.7,5,9.0,10.1
19,989.0,5,7.9,9.3
19,989.7,5,7.9,9.3
20,989.8,5,7.6,9.1
18,990.0,5,7.5,8.9
18,990.5,6,7.2,8.9
18,990.1,6,5.8,7.6
18,990.6,6,5.3,7.2
18,990.5,6,5.3,7.2
18,990.7,6,4.6,6.4
18,991.3,6,3.5,5.6
18,991.9,6,3.8,5.8
17,991.9,6,6.6,8.1
16,992.1,6,8.1,9.6
16,992.2,6,9.4,11.3
14,992.1,6,10.3,12.6
13,990.9,6,12.0,14.6
13,990.1,6,12.5,15.3
9,989.4,6,13.2,16.0
8,988.8,6,14.1,16.9
6,988.3,6,13.5,16.5
0,988.4,6,11.4,13.4
0,988.4,6,10.8,12.1
2,988.8,6,9.2,10.8
0,989.4,6,7.7,9.5
0,989.1,6,7.0,8.7
1,988.9,6,7.4,9.0
0,988.6,0,7.0,8.5
0,988.0,0,6.4,7.9
0,987.7,0,6.4,8.0
0,987.9,0,6.4,8.0
0,987.2,0,6.1,7.8
2,987.0,0,5.5,7.2
1,987.2,0,5.6,7.2
3,987.1,0,5.9,7.8
3,986.4,0,6.4,8.8
1,985.7,0,6.9,9.5
0,985.5,0,8.1,10.6
2,985.4,0,8.8,11.4
1,984.7,0,9.6,12.3
13,983.8,0,10.1,13.0
17,983.0,0,10.5,13.2
13,982.7,0,9.9,12.6
13,982.9,0,8.8,11.4
16,983.6,0,8.6,10.7
12,984.1,0,8.4,10.1
18,984.7,0,8.4,9.8
19,985.0,0,7.8,9.2
20,985.7,0,7.1,8.9
20,986.1,0,7.0,8.7
18,986.4,0,5.5,8.1
19,987.1,1,4.4,7.3
19,986.8,1,3.7,6.8
19,987.3,1,2.9,6.1
19,988.1,1,2.0,5.2
20,988.4,1,1.7,5.0
15,989.1,1,1.1,4.6
11,989.7,1,1.2,4.6
3,990.2,1,1.6,5.2
0,990.5,1,2.1,5.8
2,990.4,1,2.8,6.7
3,990.0,1,4.4,7.7
5,990.1,1,5.2,8.5
17,989.7,1,5.1,8.6
15,989.6,1,5.8,9.0
15,989.7,1,6.1,9.1
11,990.0,1,5.9,8.8
11,990.4,1,5.8,8.7
14,991.0,1,5.5,7.8
13,991.7,1,4.7,6.9
10,992.1,1,3.4,5.8
10,992.7,1,2.9,5.3
11,992.8,1,2.1,4.7
10,992.4,1,0.8,3.2
10,992.6,2,0.6,3.0
8,992.2,2,-0.1,2.2
8,992.2,2,-0.3,2.0
8,992.3,2,-0.3,2.0
8,992.0,2,-0.3,2.0
9,992.2,2,-1.5,1.1
10,992.3,2,-1.2,1.2
5,992.7,2,0.9,3.4
1,992.4,2,3.7,6.1
1,992.3,2,7.2,9.3
11,991.8,2,10.1,11.8
4,991.4,2,11.2,13.3
11,990.8,2,11.5,14.1
12,989.9,2,11.6,14.8
4,989.6,2,11.5,14.6
8,989.5,2,11.2,14.0
2,989.5,2,9.8,12.9
12,989.8,2,8.5,11.0
10,990.1,2,8.3,9.8
19,990.2,2,7.1,8.9
18,990.4,2,6.9,8.5
20,990.4,2,6.0,7.7
20,990.4,2,4.9,6.7
19,989.8,3,5.1,6.8
18,990.2,3,3.2,5.2
18,990.0,3,3.5,5.4
19,989.6,3,3.0,4.8
20,989.4,3,1.0,2.9
18,989.4,3,0.6,2.5
14,989.6,3,3.2,5.2
2,989.5,3,7.4,9.3
5,989.4,3,10.8,12.5
5,989.1,3,13.7,15.1
2,989.3,3,14.9,16.4
10,988.8,3,16.4,17.5
8,988.3,3,16.0,17.9
19,988.0,3,15.6,16.9
8,987.8,3,15.0,16.1
13,987.5,3,15.0,15.6
17,988.1,3,13.5,14.6
15,988.7,3,12.0,13.0
19,988.7,3,10.8,11.8
17,989.0,3,10.0,11.9
11,989.8,3,8.4,10.2
17,989.9,3,8.1,10.1
18,990.3,3,9.5,11.0
14,990.3,4,9.0,11.1
13,990.2,4,9.2,11.4
13,990.2,4,8.7,10.8
13,990.0,4,8.4,10.6
16,989.9,4,7.7,10.1
18,989.6,4,8.1,10.5
13,989.9,4,8.0,10.5
0,989.9,4,9.7,11.8
0,990.6,4,11.6,13.5
4,990.3,4,13.5,15.5
4,989.8,4,14.8,16.7
16,987.2,4,16.0,18.6
15,986.1,4,15.9,19.2
10,985.4,4,15.7,18.7
15,985.1,4,15.5,18.2
12,984.5,4,15.1,17.0
17,984.7,4,12.0,13.4
20,984.7,4,10.3,11.8
12,984.3,4,9.1,10.8
14,983.9,4,8.5,10.2
13,983.4,4,7.7,9.5
13,983.4,4,6.2,8.0
12,982.7,5,6.0,7.8
12,982.1,5,6.0,7.7
12,981.4,5,5.0,6.9
15,980.3,5,4.6,6.1
16,979.9,5,5.5,6.8
16,979.9,5,4.7,6.3
15,979.6,5,7.0,8.4
15,978.5,5,9.3,10.8
16,977.7,5,12.8,14.2
12,976.6,5,15.7,17.1
9,975.7,5,15.8,17.5
16,975.0,5,17.6,19.1
13,974.3,5,15.7,19.7
15,973.5,5,15.9,19.1
18,973.2,5,15.1,17.9
12,973.9,5,13.4,16.4
13,977.0,5,3.5,8.8
14,977.5,5,2.7,7.0
16,979.9,5,2.5,6.8
16,980.2,5,3.1,6.2
16,979.4,5,3.8,6.0
15,979.7,5,3.9,5.9
15,979.5,6,1.5,4.6
15,979.9,6,0.7,3.5
15,979.3,6,1.5,3.7
15,978.9,6,1.7,3.8
15,979.0,6,2.1,3.9
15,978.4,6,2.5,4.9
15,979.0,6,2.4,4.8
16,978.8,6,3.1,5.9
16,979.1,6,5.1,7.7
15,978.6,6,6.7,9.7
15,977.7,6,8.1,10.9
14,977.1,6,9.0,11.7
15,976.2,6,9.7,12.5
15,975.3,6,9.8,12.9
10,974.8,6,7.8,12.7
5,974.9,6,7.6,12.0
8,975.5,6,5.5,8.7
0,976.8,6,2.1,5.4
7,976.9,6,2.8,4.7
5,977.2,6,2.2,4.3
1,977.1,6,1.5,3.6
0,976.7,6,1.1,3.2
1,977.0,6,0.9,3.3
1,977.1,0,0.3,2.8
1,977.1,0,-0.4,2.3
1,976.9,0,0.1,3.1
1,977.3,0,0.1,3.4
1,977.2,0,-0.0,3.4
2,978.3,0,0.6,4.3
0,978.4,0,2.7,6.7
13,978.3,0,4.7,9.1
20,978.2,0,6.2,10.8
10,978.2,0,7.8,12.0
9,977.8,0,8.5,12.5
2,976.7,0,10.6,13.8
9,976.1,0,10.7,14.0
15,975.7,0,10.5,13.8
14,975.4,0,10.1,13.4
15,975.4,0,8.8,11.9
18,975.6,0,7.1,9.7
19,975.9,0,5.3,7.6
13,976.0,0,4.6,7.4
9,975.9,0,4.2,7.1
10,975.8,0,3.7,6.4
9,976.2,0,3.2,5.8
9,976.2,1,1.9,4.3
9,975.9,1,1.9,4.5
9,975.1,1,1.1,3.8
9,974.5,1,0.1,2.9
9,974.1,1,0.1,3.1
10,973.8,1,0.3,3.1
8,973.9,1,0.7,4.0
6,973.8,1,3.0,6.7
8,973.1,1,9.6,13.9
8,972.8,1,10.5,14.6
8,972.0,1,11.2,15.2
11,971.5,1,11.4,15.3
19,970.9,1,11.8,15.9
13,970.4,1,10.8,15.3
19,970.3,1,10.1,14.7
19,970.4,1,9.2,13.5
