available_bike_stands,surface_pressure,hour,temperature,day_of_week
16,980.4,12,12.3,1
16,980.4,12,12.3,1
16,980.4,12,12.3,1
16,980.4,12,12.3,1
16,980.4,12,12.3,1
16,980.4,12,12.3,1
15,980.7,14,12.7,1
16,983.2,19,6.2,1
11,984.4,21,7.1,1
11,984.5,22,6.8,1
16,985.5,11,13.9,2
13,985.0,14,14.6,2
14,984.7,15,14.2,2
15,984.9,17,12.2,2
10,985.6,18,10.2,2
9,986.9,20,7.0,2
12,987.1,21,6.4,2
12,987.0,22,6.3,2
12,987.1,23,4.7,2
10,987.0,0,4.5,3
10,986.5,1,3.7,3
10,986.4,2,5.2,3
10,986.3,3,5.2,3
11,986.3,4,4.2,3
10,986.5,5,4.8,3
11,986.5,6,4.1,3
16,986.8,7,5.6,3
16,987.2,8,6.7,3
16,987.4,9,8.1,3
15,987.4,10,10.1,3
16,986.9,11,12.2,3
16,986.2,12,13.1,3
16,985.6,13,13.4,3
13,984.9,14,14.9,3
15,984.3,15,14.8,3
10,984.4,16,14.2,3
11,984.4,17,13.3,3
16,984.7,18,12.1,3
12,984.9,19,10.7,3
13,985.2,20,10.7,3
11,985.3,21,9.3,3
11,985.2,22,8.2,3
10,984.7,23,8.4,3
11,984.7,0,7.1,4
7,984.4,1,6.1,4
6,984.3,2,5.9,4
7,984.3,4,6.0,4
7,984.5,5,4.7,4
11,984.8,6,5.8,4
10,984.9,7,6.1,4
13,985.2,8,9.1,4
15,985.1,9,11.2,4
16,984.7,10,13.2,4
12,984.5,11,15.2,4
16,984.2,12,16.2,4
15,984.0,13,17.0,4
16,983.6,14,17.8,4
14,983.3,15,17.7,4
13,983.0,16,17.2,4
13,982.9,17,15.8,4
14,983.2,18,14.2,4
16,983.7,19,13.4,4
11,984.4,20,12.3,4
12,984.9,21,10.2,4
9,984.9,23,10.5,4
9,985.4,0,10.9,5
10,984.9,1,11.2,5
10,985.2,2,11.1,5
11,985.2,3,10.7,5
11,985.1,4,9.9,5
11,985.6,5,9.7,5
11,986.0,6,9.9,5
12,986.6,7,10.1,5
11,987.2,8,11.3,5
12,987.6,9,11.2,5
10,988.0,10,12.0,5
10,987.6,11,14.5,5
12,987.3,12,15.6,5
15,986.8,13,16.3,5
15,986.6,14,15.5,5
14,986.4,15,15.9,5
15,986.2,16,15.6,5
13,987.3,17,13.6,5
16,988.1,18,11.9,5
14,988.7,19,10.1,5
13,989.0,20,9.3,5
13,989.7,21,9.3,5
15,989.8,22,9.1,5
15,990.0,23,8.9,5
16,990.5,0,8.9,6
16,990.1,1,7.6,6
16,990.6,2,7.2,6
16,990.5,3,7.2,6
16,990.7,4,6.4,6
13,991.3,5,5.6,6
13,991.9,6,5.8,6
13,991.9,7,8.1,6
13,992.1,8,9.6,6
14,992.2,9,11.3,6
15,992.1,10,12.6,6
14,990.9,11,14.6,6
14,990.1,12,15.3,6
15,989.4,13,16.0,6
13,988.8,14,16.9,6
11,988.3,15,16.5,6
4,988.4,17,13.4,6
7,988.4,18,12.1,6
14,988.8,19,10.8,6
14,989.4,21,9.5,6
13,989.1,22,8.7,6
11,988.9,23,9.0,6
12,988.6,0,8.5,0
12,988.0,1,7.9,0
12,987.7,2,8.0,0
12,987.9,3,8.0,0
12,987.2,4,7.8,0
11,987.0,5,7.2,0
14,987.2,6,7.2,0
13,987.1,7,7.8,0
13,986.4,8,8.8,0
16,985.7,9,9.5,0
16,985.5,10,10.6,0
13,985.4,11,11.4,0
12,984.7,12,12.3,0
14,983.8,13,13.0,0
13,983.0,14,13.2,0
14,982.7,15,12.6,0
14,982.9,16,11.4,0
16,983.6,17,10.7,0
15,984.1,18,10.1,0
16,984.7,19,9.8,0
12,985.0,20,9.2,0
12,985.7,21,8.9,0
10,986.1,22,8.7,0
10,986.4,23,8.1,0
11,987.1,0,7.3,1
11,986.8,1,6.8,1
11,987.3,2,6.1,1
11,988.1,4,5.2,1
8,988.4,5,5.0,1
11,989.1,6,4.6,1
9,989.7,7,4.6,1
9,990.2,8,5.2,1
6,990.5,9,5.8,1
9,990.4,10,6.7,1
13,990.0,11,7.7,1
14,990.1,12,8.5,1
16,989.7,13,8.6,1
12,989.6,14,9.0,1
12,989.7,15,9.1,1
12,990.0,16,8.8,1
9,990.4,17,8.7,1
15,991.0,18,7.8,1
16,991.7,19,6.9,1
13,992.1,20,5.8,1
13,992.7,21,5.3,1
13,992.8,22,4.7,1
15,992.4,23,3.2,1
14,992.6,0,3.0,2
11,992.2,1,2.2,2
8,992.2,2,2.0,2
5,992.3,3,2.0,2
4,992.0,4,2.0,2
3,992.2,5,1.1,2
5,992.3,6,1.2,2
7,992.7,8,3.4,2
6,992.4,9,6.1,2
9,992.3,10,9.3,2
13,991.8,11,11.8,2
16,991.4,12,13.3,2
16,990.8,13,14.1,2
15,989.9,14,14.8,2
9,989.6,15,14.6,2
13,989.5,16,14.0,2
14,989.5,17,12.9,2
11,989.8,18,11.0,2
12,990.1,19,9.8,2
12,990.2,20,8.9,2
11,990.4,21,8.5,2
9,990.4,22,7.7,2
8,990.4,23,6.7,2
8,989.8,0,6.8,3
8,990.2,1,5.2,3
8,990.0,2,5.4,3
8,989.6,4,4.8,3
8,989.4,5,2.9,3
8,989.4,6,2.5,3
9,989.6,7,5.2,3
11,989.5,8,9.3,3
16,989.4,9,12.5,3
14,989.1,10,15.1,3
15,989.3,11,16.4,3
13,988.8,12,17.5,3
12,988.3,13,17.9,3
14,988.0,14,16.9,3
14,987.8,15,16.1,3
2,987.5,16,15.6,3
9,988.1,17,14.6,3
11,988.7,18,13.0,3
10,988.7,19,11.8,3
11,989.0,20,11.9,3
12,989.8,21,10.2,3
10,989.9,22,10.1,3
9,990.3,23,11.0,3
8,990.3,0,11.1,4
9,990.2,1,11.4,4
9,990.2,2,10.8,4
9,990.0,3,10.6,4
9,989.9,4,10.1,4
9,989.6,5,10.5,4
10,989.9,6,10.5,4
10,989.9,7,11.8,4
9,990.6,8,13.5,4
12,990.3,9,15.5,4
15,989.8,10,16.7,4
15,987.2,13,18.6,4
14,986.1,14,19.2,4
12,985.4,15,18.7,4
16,985.1,16,18.2,4
16,984.5,17,17.0,4
