available_bike_stands,temperature,dew_point,apparent_temperature,relative_humidity
6,12.3,4.2,9.8,58.0
6,12.3,4.2,9.8,58.0
6,12.3,4.2,9.8,58.0
6,12.3,4.2,9.8,58.0
6,12.3,4.2,9.8,58.0
12,12.3,4.2,9.8,58.0
19,12.7,3.1,9.3,52.0
19,6.2,3.7,4.1,84.0
20,7.1,2.6,4.6,73.0
17,6.8,2.7,4.4,75.0
0,13.9,1.2,11.4,42.0
13,14.6,0.4,11.8,38.0
11,14.2,1.1,11.3,41.0
8,12.2,4.7,10.4,60.0
20,10.2,5.2,8.8,71.0
20,7.0,2.5,5.0,73.0
16,6.4,2.3,4.2,75.0
17,6.3,1.8,4.1,73.0
18,4.7,2.7,2.7,87.0
20,4.5,2.0,2.2,84.0
20,3.7,1.6,1.3,86.0
20,5.2,1.3,2.9,76.0
20,5.2,1.5,3.1,77.0
18,4.2,1.7,2.0,84.0
18,4.8,2.1,2.6,83.0
16,4.1,2.4,1.9,89.0
16,5.6,3.0,3.4,83.0
16,6.7,3.0,4.7,77.0
12,8.1,2.9,5.9,70.0
12,10.1,3.6,8.1,64.0
17,12.2,4.4,10.4,59.0
18,13.1,5.5,11.2,60.0
19,13.4,5.8,11.6,60.0
14,14.9,6.2,13.0,56.0
18,14.8,6.1,12.7,56.0
16,14.2,6.1,12.3,58.0
12,13.3,6.1,11.7,62.0
14,12.1,6.2,10.9,67.0
15,10.7,5.6,9.3,71.0
17,10.7,5.3,9.1,69.0
14,9.3,5.7,7.8,78.0
17,8.2,5.3,6.5,82.0
19,8.4,5.6,6.8,83.0
20,7.1,4.9,5.4,86.0
19,6.1,4.2,4.2,88.0
19,5.9,3.9,3.9,87.0
19,6.0,4.0,4.3,87.0
19,4.7,3.5,2.9,92.0
18,5.8,4.5,4.3,91.0
19,6.1,4.8,4.6,91.0
12,9.1,5.8,7.8,80.0
7,11.2,6.6,9.8,73.0
10,13.2,7.0,11.6,66.0
5,15.2,7.5,13.8,60.0
6,16.2,7.6,14.7,57.0
13,17.0,7.9,15.2,55.0
20,17.8,6.3,15.2,47.0
14,17.7,7.2,15.3,50.0
15,17.2,7.3,15.1,52.0
14,15.8,8.5,14.5,62.0
13,14.2,8.6,13.4,69.0
13,13.4,8.4,12.8,72.0
14,12.3,7.2,11.1,71.0
10,10.2,7.5,8.9,83.0
5,10.5,7.9,9.5,84.0
5,10.9,7.8,10.0,81.0
5,11.2,8.0,9.8,81.0
6,11.1,8.2,10.1,82.0
5,10.7,7.9,9.8,83.0
5,9.9,7.9,9.0,87.0
5,9.7,7.8,9.0,88.0
5,9.9,7.3,8.8,84.0
5,10.1,7.4,9.4,83.0
4,11.3,9.2,10.9,87.0
4,11.2,9.5,10.6,89.0
6,12.0,9.9,11.9,87.0
6,14.5,8.6,13.2,68.0
6,15.6,9.5,15.0,67.0
6,16.3,6.7,14.8,53.0
5,15.5,7.8,13.9,60.0
6,15.9,7.1,14.5,56.0
9,15.6,8.1,14.6,61.0
9,13.6,8.2,12.0,70.0
7,11.9,8.3,10.7,79.0
6,10.1,8.0,9.0,87.0
4,9.3,6.2,7.9,81.0
