available_bike_stands,surface_pressure,apparent_temperature,day_of_week,temperature
8,980.4,9.8,1,12.3
8,980.4,9.8,1,12.3
8,980.4,9.8,1,12.3
8,980.4,9.8,1,12.3
8,980.4,9.8,1,12.3
2,980.4,9.8,1,12.3
1,980.7,9.3,1,12.7
16,983.2,4.1,1,6.2
12,984.4,4.6,1,7.1
13,984.5,4.4,1,6.8
8,985.5,11.4,2,13.9
7,985.0,11.8,2,14.6
13,984.7,11.3,2,14.2
8,984.9,10.4,2,12.2
15,985.6,8.8,2,10.2
15,986.9,5.0,2,7.0
18,987.1,4.2,2,6.4
18,987.0,4.1,2,6.3
18,987.1,2.7,2,4.7
19,987.0,2.2,3,4.5
19,986.5,1.3,3,3.7
19,986.4,2.9,3,5.2
19,986.3,3.1,3,5.2
19,986.3,2.0,3,4.2
20,986.5,2.6,3,4.8
19,986.5,1.9,3,4.1
9,986.8,3.4,3,5.6
3,987.2,4.7,3,6.7
3,987.4,5.9,3,8.1
2,987.4,8.1,3,10.1
2,986.9,10.4,3,12.2
0,986.2,11.2,3,13.1
3,985.6,11.6,3,13.4
12,984.9,13.0,3,14.9
20,984.3,12.7,3,14.8
19,984.4,12.3,3,14.2
12,984.4,11.7,3,13.3
13,984.7,10.9,3,12.1
13,984.9,9.3,3,10.7
12,985.2,9.1,3,10.7
13,985.3,7.8,3,9.3
13,985.2,6.5,3,8.2
14,984.7,6.8,3,8.4
11,984.7,5.4,4,7.1
11,984.4,4.2,4,6.1
11,984.3,3.9,4,5.9
13,984.3,4.3,4,6.0
12,984.5,2.9,4,4.7
10,984.8,4.3,4,5.8
4,984.9,4.6,4,6.1
12,985.2,7.8,4,9.1
10,985.1,9.8,4,11.2
6,984.7,11.6,4,13.2
12,984.5,13.8,4,15.2
9,984.2,14.7,4,16.2
13,984.0,15.2,4,17.0
13,983.6,15.2,4,17.8
17,983.3,15.3,4,17.7
14,983.0,15.1,4,17.2
6,982.9,14.5,4,15.8
8,983.2,13.4,4,14.2
11,983.7,12.8,4,13.4
10,984.4,11.1,4,12.3
8,984.9,8.9,4,10.2
10,984.9,9.5,4,10.5
11,985.4,10.0,5,10.9
11,984.9,9.8,5,11.2
12,985.2,10.1,5,11.1
12,985.2,9.8,5,10.7
12,985.1,9.0,5,9.9
12,985.6,9.0,5,9.7
12,986.0,8.8,5,9.9
11,986.6,9.4,5,10.1
8,987.2,10.9,5,11.3
9,987.6,10.6,5,11.2
8,988.0,11.9,5,12.0
6,987.6,13.2,5,14.5
4,987.3,15.0,5,15.6
0,986.8,14.8,5,16.3
3,986.6,13.9,5,15.5
3,986.4,14.5,5,15.9
6,986.2,14.6,5,15.6
6,987.3,12.0,5,13.6
8,988.1,10.7,5,11.9
7,988.7,9.0,5,10.1
0,989.0,7.9,5,9.3
0,989.7,7.9,5,9.3
1,989.8,7.6,5,9.1
3,990.0,7.5,5,8.9
1,990.5,7.2,6,8.9
1,990.1,5.8,6,7.6
1,990.6,5.3,6,7.2
1,990.5,5.3,6,7.2
1,990.7,4.6,6,6.4
1,991.3,3.5,6,5.6
1,991.9,3.8,6,5.8
2,991.9,6.6,6,8.1
2,992.1,8.1,6,9.6
0,992.2,9.4,6,11.3
0,992.1,10.3,6,12.6
0,990.9,12.0,6,14.6
0,990.1,12.5,6,15.3
1,989.4,13.2,6,16.0
5,988.8,14.1,6,16.9
4,988.3,13.5,6,16.5
6,988.4,11.4,6,13.4
5,988.4,10.8,6,12.1
0,988.8,9.2,6,10.8
15,989.4,7.7,6,9.5
17,989.1,7.0,6,8.7
17,988.9,7.4,6,9.0
17,988.6,7.0,0,8.5
17,988.0,6.4,0,7.9
17,987.7,6.4,0,8.0
17,987.9,6.4,0,8.0
18,987.2,6.1,0,7.8
17,987.0,5.5,0,7.2
19,987.2,5.6,0,7.2
9,987.1,5.9,0,7.8
3,986.4,6.4,0,8.8
10,985.7,6.9,0,9.5
8,985.5,8.1,0,10.6
6,985.4,8.8,0,11.4
9,984.7,9.6,0,12.3
12,983.8,10.1,0,13.0
14,983.0,10.5,0,13.2
16,982.7,9.9,0,12.6
19,982.9,8.8,0,11.4
17,983.6,8.6,0,10.7
17,984.1,8.4,0,10.1
16,984.7,8.4,0,9.8
13,985.0,7.8,0,9.2
13,985.7,7.1,0,8.9
13,986.1,7.0,0,8.7
12,986.4,5.5,0,8.1
13,987.1,4.4,1,7.3
13,986.8,3.7,1,6.8
13,987.3,2.9,1,6.1
13,988.1,2.0,1,5.2
12,988.4,1.7,1,5.0
11,989.1,1.1,1,4.6
7,989.7,1.2,1,4.6
9,990.2,1.6,1,5.2
10,990.5,2.1,1,5.8
12,990.4,2.8,1,6.7
9,990.0,4.4,1,7.7
8,990.1,5.2,1,8.5
12,989.7,5.1,1,8.6
18,989.6,5.8,1,9.0
20,989.7,6.1,1,9.1
19,990.0,5.9,1,8.8
20,990.4,5.8,1,8.7
19,991.0,5.5,1,7.8
17,991.7,4.7,1,6.9
18,992.1,3.4,1,5.8
19,992.7,2.9,1,5.3
16,992.8,2.1,1,4.7
15,992.4,0.8,1,3.2
15,992.6,0.6,2,3.0
14,992.2,-0.1,2,2.2
14,992.2,-0.3,2,2.0
14,992.3,-0.3,2,2.0
14,992.0,-0.3,2,2.0
15,992.2,-1.5,2,1.1
12,992.3,-1.2,2,1.2
9,992.7,0.9,2,3.4
6,992.4,3.7,2,6.1
6,992.3,7.2,2,9.3
2,991.8,10.1,2,11.8
1,991.4,11.2,2,13.3
4,990.8,11.5,2,14.1
7,989.9,11.6,2,14.8
19,989.6,11.5,2,14.6
12,989.5,11.2,2,14.0
20,989.5,9.8,2,12.9
19,989.8,8.5,2,11.0
18,990.1,8.3,2,9.8
14,990.2,7.1,2,8.9
17,990.4,6.9,2,8.5
17,990.4,6.0,2,7.7
17,990.4,4.9,2,6.7
18,989.8,5.1,3,6.8
18,990.2,3.2,3,5.2
18,990.0,3.5,3,5.4
17,989.6,3.0,3,4.8
14,989.4,1.0,3,2.9
15,989.4,0.6,3,2.5
5,989.6,3.2,3,5.2
9,989.5,7.4,3,9.3
2,989.4,10.8,3,12.5
1,989.1,13.7,3,15.1
1,989.3,14.9,3,16.4
3,988.8,16.4,3,17.5
9,988.3,16.0,3,17.9
