available_bike_stands,surface_pressure,dew_point,day_of_week,apparent_temperature
4,980.4,4.2,1,9.8
4,980.4,4.2,1,9.8
4,980.4,4.2,1,9.8
4,980.4,4.2,1,9.8
5,980.4,4.2,1,9.8
14,980.4,4.2,1,9.8
10,980.7,3.1,1,9.3
18,983.2,3.7,1,4.1
17,984.4,2.6,1,4.6
18,984.5,2.7,1,4.4
12,985.5,1.2,2,11.4
3,985.0,0.4,2,11.8
9,984.7,1.1,2,11.3
11,984.9,4.7,2,10.4
12,985.6,5.2,2,8.8
10,986.9,2.5,2,5.0
11,987.1,2.3,2,4.2
11,987.0,1.8,2,4.1
11,987.1,2.7,2,2.7
13,987.0,2.0,3,2.2
13,986.5,1.6,3,1.3
13,986.4,1.3,3,2.9
13,986.3,1.5,3,3.1
13,986.3,1.7,3,2.0
12,986.5,2.1,3,2.6
10,986.5,2.4,3,1.9
12,986.8,3.0,3,3.4
15,987.2,3.0,3,4.7
12,987.4,2.9,3,5.9
1,987.4,3.6,3,8.1
7,986.9,4.4,3,10.4
11,986.2,5.5,3,11.2
9,985.6,5.8,3,11.6
8,984.9,6.2,3,13.0
14,984.3,6.1,3,12.7
15,984.4,6.1,3,12.3
17,984.4,6.1,3,11.7
14,984.7,6.2,3,10.9
16,984.9,5.6,3,9.3
15,985.2,5.3,3,9.1
16,985.3,5.7,3,7.8
15,985.2,5.3,3,6.5
16,984.7,5.6,3,6.8
17,984.7,4.9,4,5.4
17,984.4,4.2,4,4.2
17,984.3,3.9,4,3.9
18,984.3,4.0,4,4.3
17,984.5,3.5,4,2.9
18,984.8,4.5,4,4.3
18,984.9,4.8,4,4.6
15,985.2,5.8,4,7.8
12,985.1,6.6,4,9.8
16,984.7,7.0,4,11.6
17,984.5,7.5,4,13.8
13,984.2,7.6,4,14.7
15,984.0,7.9,4,15.2
18,983.6,6.3,4,15.2
19,983.3,7.2,4,15.3
17,983.0,7.3,4,15.1
17,982.9,8.5,4,14.5
19,983.2,8.6,4,13.4
20,983.7,8.4,4,12.8
20,984.4,7.2,4,11.1
20,984.9,7.5,4,8.9
20,984.9,7.9,4,9.5
19,985.4,7.8,5,10.0
19,984.9,8.0,5,9.8
19,985.2,8.2,5,10.1
19,985.2,7.9,5,9.8
19,985.1,7.9,5,9.0
19,985.6,7.8,5,9.0
19,986.0,7.3,5,8.8
20,986.6,7.4,5,9.4
20,987.2,9.2,5,10.9
20,987.6,9.5,5,10.6
20,988.0,9.9,5,11.9
19,987.6,8.6,5,13.2
20,987.3,9.5,5,15.0
18,986.8,6.7,5,14.8
18,986.6,7.8,5,13.9
18,986.4,7.1,5,14.5
19,986.2,8.1,5,14.6
18,987.3,8.2,5,12.0
20,988.1,8.3,5,10.7
17,988.7,8.0,5,9.0
17,989.0,6.2,5,7.9
17,989.7,6.4,5,7.9
15,989.8,6.4,5,7.6
12,990.0,6.7,5,7.5
11,990.5,5.1,6,7.2
11,990.1,5.2,6,5.8
11,990.6,4.5,6,5.3
11,990.5,4.3,6,5.3
9,990.7,4.2,6,4.6
7,991.3,4.1,6,3.5
8,991.9,4.1,6,3.8
8,991.9,5.4,6,6.6
8,992.1,5.9,6,8.1
9,992.2,8.1,6,9.4
