,date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure,bike_stands,available_bike_stands
0,2023-06-25 19:07:30+00:00,6.576354619051654,45,12.4,9.91163808450904,0.0,0.0,4.685082439266811e+129,22,8
3,2023-06-25 19:33:48+00:00,6.444708833155689,43,10.9,9.508867524181975,0.0,0.0,4.727028844713818e+129,22,7
5,2023-06-25 19:45:44+00:00,6.444708833155689,43,10.9,9.508867524181975,0.0,0.0,4.727028844713818e+129,22,6
4,2023-06-25 19:55:29+00:00,6.444708833155689,43,10.9,9.508867524181975,0.0,0.0,4.727028844713818e+129,22,8
6,2023-06-25 20:02:16+00:00,6.444708833155689,43,10.9,9.508867524181975,0.0,0.0,4.727028844713818e+129,22,12
2,2023-06-25 20:12:20+00:00,6.444708833155689,43,10.9,9.508867524181975,0.0,0.0,4.727028844713818e+129,22,12
1,2023-06-25 20:25:41+00:00,6.444708833155689,43,10.9,9.508867524181975,0.0,0.0,4.727028844713818e+129,22,8
7,2023-06-25 20:34:07+00:00,6.031184752174462,55,12.1,9.036745224542122,0.0,0.0,4.7060099720106083e+129,22,5
8,2023-06-25 20:45:23+00:00,6.031184752174462,55,12.1,9.036745224542122,0.0,0.0,4.7060099720106083e+129,22,7
9,2023-06-25 20:52:46+00:00,6.031184752174462,55,12.1,9.036745224542122,0.0,0.0,4.7060099720106083e+129,22,7
10,2023-06-25 21:02:51+00:00,6.031184752174462,55,12.1,9.036745224542122,0.0,0.0,4.7060099720106083e+129,22,7
11,2023-06-25 21:12:57+00:00,6.031184752174462,55,12.1,9.036745224542122,0.0,0.0,4.7060099720106083e+129,22,7
12,2023-06-25 21:23:15+00:00,6.031184752174462,55,12.1,9.036745224542122,0.0,0.0,4.7060099720106083e+129,22,6
18,2023-06-25 21:35:28+00:00,5.8537862847662785,58,11.9,8.643006975494778,0.0,0.0,4.769342168904965e+129,22,5
14,2023-06-25 21:44:18+00:00,5.8537862847662785,58,11.9,8.643006975494778,0.0,0.0,4.769342168904965e+129,22,0
15,2023-06-25 21:53:21+00:00,5.8537862847662785,58,11.9,8.643006975494778,0.0,0.0,4.769342168904965e+129,22,1
13,2023-06-25 22:03:26+00:00,5.8537862847662785,58,11.9,8.643006975494778,0.0,0.0,4.769342168904965e+129,22,1
16,2023-06-25 22:14:17+00:00,5.8537862847662785,58,11.9,8.643006975494778,0.0,0.0,4.769342168904965e+129,22,2
17,2023-06-25 22:23:43+00:00,5.8537862847662785,58,11.9,8.643006975494778,0.0,0.0,4.769342168904965e+129,22,0
19,2023-06-25 22:33:48+00:00,5.480941561855406,72,13.1,8.04935166932358,0.0,0.0,4.898515125313875e+129,22,0
24,2023-06-25 22:43:53+00:00,5.480941561855406,72,13.1,8.04935166932358,0.0,0.0,4.898515125313875e+129,22,0
23,2023-06-25 22:53:58+00:00,5.480941561855412,72,13.1,8.04935166932358,0.0,0.0,4.898515125313875e+129,22,0
22,2023-06-25 23:04:05+00:00,5.480941561855406,72,13.1,8.04935166932358,0.0,0.0,4.898515125313875e+129,22,1
21,2023-06-25 23:15:06+00:00,5.480941561855406,72,13.1,8.04935166932358,0.0,0.0,4.898515125313875e+129,22,0
20,2023-06-25 23:24:15+00:00,5.480941561855406,72,13.1,8.04935166932358,0.0,0.0,4.898515125313875e+129,22,0
25,2023-06-25 23:34:21+00:00,5.410291294190781,74,13.1,7.921375833868765,0.0,0.0,4.8767513804578896e+129,22,0
26,2023-06-25 23:44:26+00:00,5.410291294190781,74,13.1,7.921375833868765,0.0,0.0,4.8767513804578896e+129,22,0
27,2023-06-25 23:54:30+00:00,5.410291294190781,74,13.1,7.921375833868765,0.0,0.0,4.8767513804578896e+129,22,0
