temperature,relative_humidity,dew_point,apparent_temperature,precipitation,rain,surface_pressure,date
7.8,74.0,3.5,3.6,1.1,1.1,974.9,2024-03-11T21:00
7.6,76.0,3.7,3.3,1.0,1.0,974.7,2024-03-11T22:00
7.6,77.0,3.8,3.9,1.8,1.8,975.1,2024-03-11T23:00
7.6,77.0,3.8,3.9,1.8,1.8,975.1,2024-03-11T23:00
7.6,77.0,3.8,3.9,1.8,1.8,975.1,2024-03-11T23:00
7.4,79.0,4.0,4.0,1.5,1.4,976.0,2024-03-12T00:00
7.6,76.0,3.7,4.0,0.5,0.4,976.1,2024-03-12T01:00
7.6,75.0,3.5,4.1,0.3,0.2,976.4,2024-03-12T02:00
7.7,74.0,3.3,4.2,0.3,0.0,976.5,2024-03-12T03:00
7.9,72.0,3.1,4.9,0.1,0.1,976.4,2024-03-12T04:00
7.9,76.0,3.9,5.6,0.0,0.0,976.4,2024-03-12T05:00
